	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The name of the constellation including x	-1	The name of the constellation including Sirius	Canis Major	Sirius	[',', ' the', ' brightest', ' star', ' in', ' the', ' sky', ',', ' is', ' the', ' brightest', ' star', ' in', ' the', ' sky', '.', '\n', '\n', 'The', ' name']	",  the  brightest  star  in  the  sky ,  is  the  brightest  star  in  the  sky . 
 
 The  name"	False	 Football Network and on Sirius XM Satellite	4	[' Football', ' Network', ' and', ' on', ' Sirius']
1	0	The name of the constellation including x	-1	The name of the constellation including Sirius	Canis Major	Sirius	[',', ' the', ' brightest', ' star', ' in', ' the', ' sky', ',', ' is', ' the', ' brightest', ' star', ' in', ' the', ' sky', '.', '\n', '\n', 'The', ' name']	",  the  brightest  star  in  the  sky ,  is  the  brightest  star  in  the  sky . 
 
 The  name"	False	 Harry has a vision of Sirius being tortured	5	[' Harry', ' has', ' a', ' vision', ' of', ' Sirius']
2	0	The name of the constellation including x	-1	The name of the constellation including Sirius	Canis Major	Sirius	[',', ' the', ' brightest', ' star', ' in', ' the', ' sky', ',', ' is', ' the', ' brightest', ' star', ' in', ' the', ' sky', '.', '\n', '\n', 'The', ' name']	",  the  brightest  star  in  the  sky ,  is  the  brightest  star  in  the  sky . 
 
 The  name"	False	 Gary Oldman as Sirius Black, Harry's late	4	[' Gary', ' Old', 'man', ' as', ' Sirius']
3	0	The name of the constellation including x	-1	The name of the constellation including Sirius	Canis Major	Sirius	[',', ' the', ' brightest', ' star', ' in', ' the', ' sky', ',', ' is', ' the', ' brightest', ' star', ' in', ' the', ' sky', '.', '\n', '\n', 'The', ' name']	",  the  brightest  star  in  the  sky ,  is  the  brightest  star  in  the  sky . 
 
 The  name"	False	 targeted by Sirius Black, his father's	2	[' targeted', ' by', ' Sirius']
4	0	The name of the constellation including x	-1	The name of the constellation including Sirius	Canis Major	Sirius	[',', ' the', ' brightest', ' star', ' in', ' the', ' sky', ',', ' is', ' the', ' brightest', ' star', ' in', ' the', ' sky', '.', '\n', '\n', 'The', ' name']	",  the  brightest  star  in  the  sky ,  is  the  brightest  star  in  the  sky . 
 
 The  name"	False	 LGBT-geared station on Sirius XM. Bass is also	6	[' LGBT', '-', 'ge', 'ared', ' station', ' on', ' Sirius']
5	1	The name of the constellation including x	-1	The name of the constellation including Vega	Lyra	Vega	[',', ' the', ' brightest', ' star', ' in', ' the', ' constellation', ' of', ' Ly', 'ra', '.', '\n', '\n', 'The', ' name', ' of', ' the', ' constellation', ' of', ' Ly']	",  the  brightest  star  in  the  constellation  of  Ly ra . 
 
 The  name  of  the  constellation  of  Ly"	True		1	['V', 'ega']
6	1	The name of the constellation including x	-1	The name of the constellation including Vega	Lyra	Vega	[',', ' the', ' brightest', ' star', ' in', ' the', ' constellation', ' of', ' Ly', 'ra', '.', '\n', '\n', 'The', ' name', ' of', ' the', ' constellation', ' of', ' Ly']	",  the  brightest  star  in  the  constellation  of  Ly ra . 
 
 The  name  of  the  constellation  of  Ly"	True	" Compania"" led by Savio Vega (Juan Rivera)."	7	"[' Comp', 'ania', '""', ' led', ' by', ' Sav', 'io', ' Vega']"
7	1	The name of the constellation including x	-1	The name of the constellation including Vega	Lyra	Vega	[',', ' the', ' brightest', ' star', ' in', ' the', ' constellation', ' of', ' Ly', 'ra', '.', '\n', '\n', 'The', ' name', ' of', ' the', ' constellation', ' of', ' Ly']	",  the  brightest  star  in  the  constellation  of  Ly ra . 
 
 The  name  of  the  constellation  of  Ly"	True	 radiation pressure from Vega pushes debris	3	[' radiation', ' pressure', ' from', ' Vega']
8	1	The name of the constellation including x	-1	The name of the constellation including Vega	Lyra	Vega	[',', ' the', ' brightest', ' star', ' in', ' the', ' constellation', ' of', ' Ly', 'ra', '.', '\n', '\n', 'The', ' name', ' of', ' the', ' constellation', ' of', ' Ly']	",  the  brightest  star  in  the  constellation  of  Ly ra . 
 
 The  name  of  the  constellation  of  Ly"	True	 artist Suzanne Vega at her Bucharest	2	[' artist', ' Suzanne', ' Vega']
9	1	The name of the constellation including x	-1	The name of the constellation including Vega	Lyra	Vega	[',', ' the', ' brightest', ' star', ' in', ' the', ' constellation', ' of', ' Ly', 'ra', '.', '\n', '\n', 'The', ' name', ' of', ' the', ' constellation', ' of', ' Ly']	",  the  brightest  star  in  the  constellation  of  Ly ra . 
 
 The  name  of  the  constellation  of  Ly"	True	 atmosphere. The Soviet Vega program in	4	[' atmosphere', '.', ' The', ' Soviet', ' Vega']
