	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Superman	Lex Luthor	Superman	[',', ' the', ' Man', ' of', ' Steel', ',', ' is', ' Lex', ' Luthor', '.', ' He', ' is', ' the', ' most', ' powerful', ' man', ' in', ' the', ' world', ',']	,  the  Man  of  Steel ,  is  Lex  Luthor .  He  is  the  most  powerful  man  in  the  world ,	True	 in Zack Snyder's Superman film Man of Steel,	4	"[' in', ' Zack', ' Snyder', ""'s"", ' Superman']"
1	0	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Superman	Lex Luthor	Superman	[',', ' the', ' Man', ' of', ' Steel', ',', ' is', ' Lex', ' Luthor', '.', ' He', ' is', ' the', ' most', ' powerful', ' man', ' in', ' the', ' world', ',']	,  the  Man  of  Steel ,  is  Lex  Luthor .  He  is  the  most  powerful  man  in  the  world ,	True	 DVD box set titled Superman Ultimate Collector's	4	[' DVD', ' box', ' set', ' titled', ' Superman']
2	0	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Superman	Lex Luthor	Superman	[',', ' the', ' Man', ' of', ' Steel', ',', ' is', ' Lex', ' Luthor', '.', ' He', ' is', ' the', ' most', ' powerful', ' man', ' in', ' the', ' world', ',']	,  the  Man  of  Steel ,  is  Lex  Luthor .  He  is  the  most  powerful  man  in  the  world ,	True		1	['Super', 'man']
3	0	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Superman	Lex Luthor	Superman	[',', ' the', ' Man', ' of', ' Steel', ',', ' is', ' Lex', ' Luthor', '.', ' He', ' is', ' the', ' most', ' powerful', ' man', ' in', ' the', ' world', ',']	,  the  Man  of  Steel ,  is  Lex  Luthor .  He  is  the  most  powerful  man  in  the  world ,	True	 design work for Superman Returns. Spielberg	3	[' design', ' work', ' for', ' Superman']
4	0	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Superman	Lex Luthor	Superman	[',', ' the', ' Man', ' of', ' Steel', ',', ' is', ' Lex', ' Luthor', '.', ' He', ' is', ' the', ' most', ' powerful', ' man', ' in', ' the', ' world', ',']	,  the  Man  of  Steel ,  is  Lex  Luthor .  He  is  the  most  powerful  man  in  the  world ,	True	 from the previous Superman films. John Williams'musical	3	[' from', ' the', ' previous', ' Superman']
5	1	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Batman	The Joker	Batman	"[',', ' the', ' Joker', ',', ' is', ' a', ' reference', ' to', ' the', ' Joker', ""'s"", ' famous', ' line', ' from', ' the', ' Batman', ' comic', ' book', ' series', ',']"	,  the  Joker ,  is  a  reference  to  the  Joker 's  famous  line  from  the  Batman  comic  book  series ,	False	 1986, long before Batman or Dick Tracy or	4	[' 1986', ',', ' long', ' before', ' Batman']
6	1	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Batman	The Joker	Batman	"[',', ' the', ' Joker', ',', ' is', ' a', ' reference', ' to', ' the', ' Joker', ""'s"", ' famous', ' line', ' from', ' the', ' Batman', ' comic', ' book', ' series', ',']"	,  the  Joker ,  is  a  reference  to  the  Joker 's  famous  line  from  the  Batman  comic  book  series ,	False	 series, sales of Batman continued to	4	[' series', ',', ' sales', ' of', ' Batman']
7	1	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Batman	The Joker	Batman	"[',', ' the', ' Joker', ',', ' is', ' a', ' reference', ' to', ' the', ' Joker', ""'s"", ' famous', ' line', ' from', ' the', ' Batman', ' comic', ' book', ' series', ',']"	,  the  Joker ,  is  a  reference  to  the  Joker 's  famous  line  from  the  Batman  comic  book  series ,	False	" Scissorhands or Batman Returns.""
"	5	[' Sc', 'iss', 'or', 'hands', ' or', ' Batman']
8	1	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Batman	The Joker	Batman	"[',', ' the', ' Joker', ',', ' is', ' a', ' reference', ' to', ' the', ' Joker', ""'s"", ' famous', ' line', ' from', ' the', ' Batman', ' comic', ' book', ' series', ',']"	,  the  Joker ,  is  a  reference  to  the  Joker 's  famous  line  from  the  Batman  comic  book  series ,	False	 outfits for Batman were revealed in	2	[' outfits', ' for', ' Batman']
9	1	The name of the superhero archnemesis of x	-1	The name of the superhero archnemesis of Batman	The Joker	Batman	"[',', ' the', ' Joker', ',', ' is', ' a', ' reference', ' to', ' the', ' Joker', ""'s"", ' famous', ' line', ' from', ' the', ' Batman', ' comic', ' book', ' series', ',']"	,  the  Joker ,  is  a  reference  to  the  Joker 's  famous  line  from  the  Batman  comic  book  series ,	False		0	['Batman']
