	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The official currency of x	-1	The official currency of United States	Dollar	United States	[' is', ' Dollar', '.', ' The', ' official', ' language', ' of', ' United', ' States', ' is', ' English', '.', ' The', ' total', ' area', ' of', ' United', ' States', ' is', ' 3']	 is  Dollar .  The  official  language  of  United  States  is  English .  The  total  area  of  United  States  is  3	True	 released in the United States on May 2, 2003.	4	[' released', ' in', ' the', ' United', ' States']
1	0	The official currency of x	-1	The official currency of United States	Dollar	United States	[' is', ' Dollar', '.', ' The', ' official', ' language', ' of', ' United', ' States', ' is', ' English', '.', ' The', ' total', ' area', ' of', ' United', ' States', ' is', ' 3']	 is  Dollar .  The  official  language  of  United  States  is  English .  The  total  area  of  United  States  is  3	True	 courtroom. In 2006 the United States Department of	6	[' courtroom', '.', ' In', ' 2006', ' the', ' United', ' States']
2	0	The official currency of x	-1	The official currency of United States	Dollar	United States	[' is', ' Dollar', '.', ' The', ' official', ' language', ' of', ' United', ' States', ' is', ' English', '.', ' The', ' total', ' area', ' of', ' United', ' States', ' is', ' 3']	 is  Dollar .  The  official  language  of  United  States  is  English .  The  total  area  of  United  States  is  3	True	" began to be built by United States Realty Company.
"	6	[' began', ' to', ' be', ' built', ' by', ' United', ' States']
3	0	The official currency of x	-1	The official currency of United States	Dollar	United States	[' is', ' Dollar', '.', ' The', ' official', ' language', ' of', ' United', ' States', ' is', ' English', '.', ' The', ' total', ' area', ' of', ' United', ' States', ' is', ' 3']	 is  Dollar .  The  official  language  of  United  States  is  English .  The  total  area  of  United  States  is  3	True		1	['United', ' States']
4	0	The official currency of x	-1	The official currency of United States	Dollar	United States	[' is', ' Dollar', '.', ' The', ' official', ' language', ' of', ' United', ' States', ' is', ' English', '.', ' The', ' total', ' area', ' of', ' United', ' States', ' is', ' 3']	 is  Dollar .  The  official  language  of  United  States  is  English .  The  total  area  of  United  States  is  3	True	 of World War II. United States Army Center of	6	[' of', ' World', ' War', ' II', '.', ' United', ' States']
5	1	The official currency of x	-1	The official currency of United Kingdom	Pound	United Kingdom	[' is', ' pound', ' sterling', '.', ' The', ' currency', ' is', ' divided', ' into', ' 100', ' p', 'ence', '.', ' The', ' currency', ' is', ' used', ' in', ' United', ' Kingdom']	 is  pound  sterling .  The  currency  is  divided  into  100  p ence .  The  currency  is  used  in  United  Kingdom	False	 surrendered to the United Kingdom as the war prize	4	[' surrendered', ' to', ' the', ' United', ' Kingdom']
6	1	The official currency of x	-1	The official currency of United Kingdom	Pound	United Kingdom	[' is', ' pound', ' sterling', '.', ' The', ' currency', ' is', ' divided', ' into', ' 100', ' p', 'ence', '.', ' The', ' currency', ' is', ' used', ' in', ' United', ' Kingdom']	 is  pound  sterling .  The  currency  is  divided  into  100  p ence .  The  currency  is  used  in  United  Kingdom	False	" Kingdom ====
"	4	[' Kingdom', ' =', '===', 'United', ' Kingdom']
7	1	The official currency of x	-1	The official currency of United Kingdom	Pound	United Kingdom	[' is', ' pound', ' sterling', '.', ' The', ' currency', ' is', ' divided', ' into', ' 100', ' p', 'ence', '.', ' The', ' currency', ' is', ' used', ' in', ' United', ' Kingdom']	 is  pound  sterling .  The  currency  is  divided  into  100  p ence .  The  currency  is  used  in  United  Kingdom	False	 first aired in the United Kingdom on BBC One on	5	[' first', ' aired', ' in', ' the', ' United', ' Kingdom']
8	1	The official currency of x	-1	The official currency of United Kingdom	Pound	United Kingdom	[' is', ' pound', ' sterling', '.', ' The', ' currency', ' is', ' divided', ' into', ' 100', ' p', 'ence', '.', ' The', ' currency', ' is', ' used', ' in', ' United', ' Kingdom']	 is  pound  sterling .  The  currency  is  divided  into  100  p ence .  The  currency  is  used  in  United  Kingdom	False	 throughout the United Kingdom and, as of 2014,	3	[' throughout', ' the', ' United', ' Kingdom']
9	1	The official currency of x	-1	The official currency of United Kingdom	Pound	United Kingdom	[' is', ' pound', ' sterling', '.', ' The', ' currency', ' is', ' divided', ' into', ' 100', ' p', 'ence', '.', ' The', ' currency', ' is', ' used', ' in', ' United', ' Kingdom']	 is  pound  sterling .  The  currency  is  divided  into  100  p ence .  The  currency  is  used  in  United  Kingdom	False	 and cities in the United Kingdom over 23 different	5	[' and', ' cities', ' in', ' the', ' United', ' Kingdom']
10	2	The official currency of x	-1	The official currency of Japan	Yen	Japan	[' is', ' the', ' Yen', '.', ' The', ' Japanese', ' Yen', ' is', ' the', ' official', ' currency', ' of', ' Japan', '.', ' The', ' Japanese', ' Yen', ' is', ' also', ' known']	 is  the  Yen .  The  Japanese  Yen  is  the  official  currency  of  Japan .  The  Japanese  Yen  is  also  known	True	 missions against Japan since mid-February,	2	[' missions', ' against', ' Japan']
11	2	The official currency of x	-1	The official currency of Japan	Yen	Japan	[' is', ' the', ' Yen', '.', ' The', ' Japanese', ' Yen', ' is', ' the', ' official', ' currency', ' of', ' Japan', '.', ' The', ' Japanese', ' Yen', ' is', ' also', ' known']	 is  the  Yen .  The  Japanese  Yen  is  the  official  currency  of  Japan .  The  Japanese  Yen  is  also  known	True	 4.4 million units in Japan as of April 2009;	6	[' 4', '.', '4', ' million', ' units', ' in', ' Japan']
