	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of happy	positive	happy	[',', ' sad', ',', ' and', ' angry', '.', '\n', '\n', '-', ' ', ' ', ' **', 'Sent', 'iment', '**', ':', ' The', ' sentiment', ' of', ' the']	",  sad ,  and  angry . 
 
 -      ** Sent iment ** :  The  sentiment  of  the"	False	 / I choose to be happy / You and I,	5	[' /', ' I', ' choose', ' to', ' be', ' happy']
1	0	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of happy	positive	happy	[',', ' sad', ',', ' and', ' angry', '.', '\n', '\n', '-', ' ', ' ', ' **', 'Sent', 'iment', '**', ':', ' The', ' sentiment', ' of', ' the']	",  sad ,  and  angry . 
 
 -      ** Sent iment ** :  The  sentiment  of  the"	False	 The townsfolk are happy to have made it	4	[' The', ' towns', 'folk', ' are', ' happy']
2	0	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of happy	positive	happy	[',', ' sad', ',', ' and', ' angry', '.', '\n', '\n', '-', ' ', ' ', ' **', 'Sent', 'iment', '**', ':', ' The', ' sentiment', ' of', ' the']	",  sad ,  and  angry . 
 
 -      ** Sent iment ** :  The  sentiment  of  the"	False	" dagger, saying ""O happy dagger! This is thy"	5	"[' dagger', ',', ' saying', ' ""', 'O', ' happy']"
3	0	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of happy	positive	happy	[',', ' sad', ',', ' and', ' angry', '.', '\n', '\n', '-', ' ', ' ', ' **', 'Sent', 'iment', '**', ':', ' The', ' sentiment', ' of', ' the']	",  sad ,  and  angry . 
 
 -      ** Sent iment ** :  The  sentiment  of  the"	False	 Despite being happy that Itchy & Scratchy	2	[' Despite', ' being', ' happy']
4	0	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of happy	positive	happy	[',', ' sad', ',', ' and', ' angry', '.', '\n', '\n', '-', ' ', ' ', ' **', 'Sent', 'iment', '**', ':', ' The', ' sentiment', ' of', ' the']	",  sad ,  and  angry . 
 
 -      ** Sent iment ** :  The  sentiment  of  the"	False	 'How can you write a happy play?' he said.	6	"["" '"", 'How', ' can', ' you', ' write', ' a', ' happy']"
5	1	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of joy	positive	joy	[',', ' the', ' sentiment', ' of', ' sadness', ',', ' the', ' sentiment', ' of', ' anger', ',', ' the', ' sentiment', ' of', ' fear', ',', ' the', ' sentiment', ' of', ' surprise']	,  the  sentiment  of  sadness ,  the  sentiment  of  anger ,  the  sentiment  of  fear ,  the  sentiment  of  surprise	False	 couldn't take any joy in the boy's development	4	"[' couldn', ""'t"", ' take', ' any', ' joy']"
6	1	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of joy	positive	joy	[',', ' the', ' sentiment', ' of', ' sadness', ',', ' the', ' sentiment', ' of', ' anger', ',', ' the', ' sentiment', ' of', ' fear', ',', ' the', ' sentiment', ' of', ' surprise']	,  the  sentiment  of  sadness ,  the  sentiment  of  anger ,  the  sentiment  of  fear ,  the  sentiment  of  surprise	False	" called ""the true joy and sensation"	4	"[' called', ' ""', 'the', ' true', ' joy']"
7	1	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of joy	positive	joy	[',', ' the', ' sentiment', ' of', ' sadness', ',', ' the', ' sentiment', ' of', ' anger', ',', ' the', ' sentiment', ' of', ' fear', ',', ' the', ' sentiment', ' of', ' surprise']	,  the  sentiment  of  sadness ,  the  sentiment  of  anger ,  the  sentiment  of  fear ,  the  sentiment  of  surprise	False	 surrender the one joy of his life, he	3	[' surrender', ' the', ' one', ' joy']
8	1	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of joy	positive	joy	[',', ' the', ' sentiment', ' of', ' sadness', ',', ' the', ' sentiment', ' of', ' anger', ',', ' the', ' sentiment', ' of', ' fear', ',', ' the', ' sentiment', ' of', ' surprise']	,  the  sentiment  of  sadness ,  the  sentiment  of  anger ,  the  sentiment  of  fear ,  the  sentiment  of  surprise	False	 unmitigated joy as Captain Sparrow,	3	[' un', 'mit', 'igated', ' joy']
9	1	Among positive, negative, neutral, the sentiment of x	-1	Among positive, negative, neutral, the sentiment of joy	positive	joy	[',', ' the', ' sentiment', ' of', ' sadness', ',', ' the', ' sentiment', ' of', ' anger', ',', ' the', ' sentiment', ' of', ' fear', ',', ' the', ' sentiment', ' of', ' surprise']	,  the  sentiment  of  sadness ,  the  sentiment  of  anger ,  the  sentiment  of  fear ,  the  sentiment  of  surprise	False	" ""One of the many enjoyable tasks I"	5	"[' ""', 'One', ' of', ' the', ' many', ' enjoy']"
