	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	On the outside, the color of x	-1	On the outside, the color of bananas	yellow	bananas	[' is', ' green', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' yellow', '.', '\n', '\n', 'The', ' banana', ' is', ' a', ' fruit', ' that']	" is  green ,  but  on  the  inside ,  they  are  yellow . 
 
 The  banana  is  a  fruit  that"	True	 effects of a diet of bananas in 1924. This	5	[' effects', ' of', ' a', ' diet', ' of', ' bananas']
1	0	On the outside, the color of x	-1	On the outside, the color of bananas	yellow	bananas	[' is', ' green', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' yellow', '.', '\n', '\n', 'The', ' banana', ' is', ' a', ' fruit', ' that']	" is  green ,  but  on  the  inside ,  they  are  yellow . 
 
 The  banana  is  a  fruit  that"	True	 primarily from selling bananas in a shopping	3	[' primarily', ' from', ' selling', ' bananas']
2	0	On the outside, the color of x	-1	On the outside, the color of bananas	yellow	bananas	[' is', ' green', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' yellow', '.', '\n', '\n', 'The', ' banana', ' is', ' a', ' fruit', ' that']	" is  green ,  but  on  the  inside ,  they  are  yellow . 
 
 The  banana  is  a  fruit  that"	True	 exhibiting a bunch of bananas in a gallery, and they'll	4	[' exhibiting', ' a', ' bunch', ' of', ' bananas']
3	0	On the outside, the color of x	-1	On the outside, the color of bananas	yellow	bananas	[' is', ' green', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' yellow', '.', '\n', '\n', 'The', ' banana', ' is', ' a', ' fruit', ' that']	" is  green ,  but  on  the  inside ,  they  are  yellow . 
 
 The  banana  is  a  fruit  that"	True	 consumerism by tossing bananas at East Germans	4	[' consumer', 'ism', ' by', ' tossing', ' bananas']
4	0	On the outside, the color of x	-1	On the outside, the color of bananas	yellow	bananas	[' is', ' green', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' yellow', '.', '\n', '\n', 'The', ' banana', ' is', ' a', ' fruit', ' that']	" is  green ,  but  on  the  inside ,  they  are  yellow . 
 
 The  banana  is  a  fruit  that"	True	 155,000 short tons) of bananas and 87,078 tonnes	7	[' 155', ',', '000', ' short', ' tons', ')', ' of', ' bananas']
5	1	On the outside, the color of x	-1	On the outside, the color of apples	red	apples	[' is', ' a', ' deep', ' red', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' a', ' deep', ' purple', '.', '\n', '\n', 'The', ' apple']	" is  a  deep  red ,  but  on  the  inside ,  they  are  a  deep  purple . 
 
 The  apple"	True	 about 75 % of apples and pears were lost.	4	[' about', ' 75', ' %', ' of', ' apples']
6	1	On the outside, the color of x	-1	On the outside, the color of apples	red	apples	[' is', ' a', ' deep', ' red', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' a', ' deep', ' purple', '.', '\n', '\n', 'The', ' apple']	" is  a  deep  red ,  but  on  the  inside ,  they  are  a  deep  purple . 
 
 The  apple"	True	" data are a blend of apples and oranges"","	5	[' data', ' are', ' a', ' blend', ' of', ' apples']
7	1	On the outside, the color of x	-1	On the outside, the color of apples	red	apples	[' is', ' a', ' deep', ' red', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' a', ' deep', ' purple', '.', '\n', '\n', 'The', ' apple']	" is  a  deep  red ,  but  on  the  inside ,  they  are  a  deep  purple . 
 
 The  apple"	True	 Sabrina, throws apples at a house, and	4	[' Sab', 'rina', ',', ' throws', ' apples']
8	1	On the outside, the color of x	-1	On the outside, the color of apples	red	apples	[' is', ' a', ' deep', ' red', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' a', ' deep', ' purple', '.', '\n', '\n', 'The', ' apple']	" is  a  deep  red ,  but  on  the  inside ,  they  are  a  deep  purple . 
 
 The  apple"	True	 objects such as apples or bottles. Although	3	[' objects', ' such', ' as', ' apples']
9	1	On the outside, the color of x	-1	On the outside, the color of apples	red	apples	[' is', ' a', ' deep', ' red', ',', ' but', ' on', ' the', ' inside', ',', ' they', ' are', ' a', ' deep', ' purple', '.', '\n', '\n', 'The', ' apple']	" is  a  deep  red ,  but  on  the  inside ,  they  are  a  deep  purple . 
 
 The  apple"	True		1	['app', 'les']
