	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The country of origin for x	-1	The country of origin for Pizza	Italy	Pizza	[' Hut', ' is', ' Italy', '.', '\n', '\n', 'P', 'izza', ' Hut', ' is', ' a', ' global', ' pizza', ' chain', ' that', ' was', ' founded', ' in', ' 1958', ' in']	" Hut  is  Italy . 
 
 P izza  Hut  is  a  global  pizza  chain  that  was  founded  in  1958  in"	True	 after moving into Pizza Hut Park in 2005.	3	[' after', ' moving', ' into', ' Pizza']
1	0	The country of origin for x	-1	The country of origin for Pizza	Italy	Pizza	[' Hut', ' is', ' Italy', '.', '\n', '\n', 'P', 'izza', ' Hut', ' is', ' a', ' global', ' pizza', ' chain', ' that', ' was', ' founded', ' in', ' 1958', ' in']	" Hut  is  Italy . 
 
 P izza  Hut  is  a  global  pizza  chain  that  was  founded  in  1958  in"	True	 MOSPEADA or Samurai Pizza Cats, despite	6	[' M', 'OS', 'PE', 'ADA', ' or', ' Samurai', ' Pizza']
2	0	The country of origin for x	-1	The country of origin for Pizza	Italy	Pizza	[' Hut', ' is', ' Italy', '.', '\n', '\n', 'P', 'izza', ' Hut', ' is', ' a', ' global', ' pizza', ' chain', ' that', ' was', ' founded', ' in', ' 1958', ' in']	" Hut  is  Italy . 
 
 P izza  Hut  is  a  global  pizza  chain  that  was  founded  in  1958  in"	True	 campaigns by Sony and Pizza Hut. The Japanese version	4	[' campaigns', ' by', ' Sony', ' and', ' Pizza']
3	0	The country of origin for x	-1	The country of origin for Pizza	Italy	Pizza	[' Hut', ' is', ' Italy', '.', '\n', '\n', 'P', 'izza', ' Hut', ' is', ' a', ' global', ' pizza', ' chain', ' that', ' was', ' founded', ' in', ' 1958', ' in']	" Hut  is  Italy . 
 
 P izza  Hut  is  a  global  pizza  chain  that  was  founded  in  1958  in"	True	 Ozzfest at the Pizza Hut Park on 9 August.	5	[' O', 'zz', 'fest', ' at', ' the', ' Pizza']
4	0	The country of origin for x	-1	The country of origin for Pizza	Italy	Pizza	[' Hut', ' is', ' Italy', '.', '\n', '\n', 'P', 'izza', ' Hut', ' is', ' a', ' global', ' pizza', ' chain', ' that', ' was', ' founded', ' in', ' 1958', ' in']	" Hut  is  Italy . 
 
 P izza  Hut  is  a  global  pizza  chain  that  was  founded  in  1958  in"	True	 Richmond Kickers at Pizza Hut Park in Frisco,	4	[' Richmond', ' Kick', 'ers', ' at', ' Pizza']
5	1	The country of origin for x	-1	The country of origin for Sushi	Japan	Sushi	[' is', ' Japan', '.', '\n', '\n', 'S', 'ushi', ' is', ' a', ' Japanese', ' dish', ' that', ' is', ' made', ' from', ' raw', ' fish', ',', ' usually', ' raw']	" is  Japan . 
 
 S ushi  is  a  Japanese  dish  that  is  made  from  raw  fish ,  usually  raw"	True	 Jon Ledford of Sushi Arcade included her	5	[' Jon', ' Led', 'ford', ' of', ' S', 'ushi']
6	1	The country of origin for x	-1	The country of origin for Sushi	Japan	Sushi	[' is', ' Japan', '.', '\n', '\n', 'S', 'ushi', ' is', ' a', ' Japanese', ' dish', ' that', ' is', ' made', ' from', ' raw', ' fish', ',', ' usually', ' raw']	" is  Japan . 
 
 S ushi  is  a  Japanese  dish  that  is  made  from  raw  fish ,  usually  raw"	True	 2013, Jon Ledford of Sushi Arcade included	7	[' 2013', ',', ' Jon', ' Led', 'ford', ' of', ' S', 'ushi']
7	1	The country of origin for x	-1	The country of origin for Sushi	Japan	Sushi	[' is', ' Japan', '.', '\n', '\n', 'S', 'ushi', ' is', ' a', ' Japanese', ' dish', ' that', ' is', ' made', ' from', ' raw', ' fish', ',', ' usually', ' raw']	" is  Japan . 
 
 S ushi  is  a  Japanese  dish  that  is  made  from  raw  fish ,  usually  raw"	True	" Ledford of Arcade Sushi opined that ""in"	5	[' Led', 'ford', ' of', ' Arcade', ' S', 'ushi']
8	2	The country of origin for x	-1	The country of origin for Tacos	Mexico	Tacos	[' is', ' Mexico', '.', '\n', '\n', 'The', ' country', ' of', ' origin', ' for', ' Tac', 'os', ' is', ' Mexico', '.', '\n', '\n', 'The', ' country', ' of']	" is  Mexico . 
 
 The  country  of  origin  for  Tac os  is  Mexico . 
 
 The  country  of"	True	 at Ricky's Tacos speaks to Michael,	4	"[' at', ' Ricky', ""'s"", ' Tac', 'os']"
9	2	The country of origin for x	-1	The country of origin for Tacos	Mexico	Tacos	[' is', ' Mexico', '.', '\n', '\n', 'The', ' country', ' of', ' origin', ' for', ' Tac', 'os', ' is', ' Mexico', '.', '\n', '\n', 'The', ' country', ' of']	" is  Mexico . 
 
 The  country  of  origin  for  Tac os  is  Mexico . 
 
 The  country  of"	True	 microphone at Ricky's Tacos speaks to Michael,	5	"[' microphone', ' at', ' Ricky', ""'s"", ' Tac', 'os']"
10	2	The country of origin for x	-1	The country of origin for Tacos	Mexico	Tacos	[' is', ' Mexico', '.', '\n', '\n', 'The', ' country', ' of', ' origin', ' for', ' Tac', 'os', ' is', ' Mexico', '.', '\n', '\n', 'The', ' country', ' of']	" is  Mexico . 
 
 The  country  of  origin  for  Tac os  is  Mexico . 
 
 The  country  of"	True	 microphone at Ricky's Tacos speaks to	5	"[' microphone', ' at', ' Ricky', ""'s"", ' Tac', 'os']"
11	3	The country of origin for x	-1	The country of origin for Baguette	France	Baguette	[' is', ' France', '.', '\n', '\n', 'B', 'agu', 'ette', ' is', ' a', ' French', ' bread', ' that', ' is', ' made', ' with', ' a', ' long', ',', ' thin']	" is  France . 
 
 B agu ette  is  a  French  bread  that  is  made  with  a  long ,  thin"	True		2	['B', 'agu', 'ette']
12	3	The country of origin for x	-1	The country of origin for Baguette	France	Baguette	[' is', ' France', '.', '\n', '\n', 'B', 'agu', 'ette', ' is', ' a', ' French', ' bread', ' that', ' is', ' made', ' with', ' a', ' long', ',', ' thin']	" is  France . 
 
 B agu ette  is  a  French  bread  that  is  made  with  a  long ,  thin"	True	 that the Chicken BLT Baguette sandwich,	7	[' that', ' the', ' Chicken', ' BL', 'T', ' B', 'agu', 'ette']
13	3	The country of origin for x	-1	The country of origin for Baguette	France	Baguette	[' is', ' France', '.', '\n', '\n', 'B', 'agu', 'ette', ' is', ' a', ' French', ' bread', ' that', ' is', ' made', ' with', ' a', ' long', ',', ' thin']	" is  France . 
 
 B agu ette  is  a  French  bread  that  is  made  with  a  long ,  thin"	True	 BK introduced its BK Baguette line of sandwiches	8	[' B', 'K', ' introduced', ' its', ' B', 'K', ' B', 'agu', 'ette']
14	3	The country of origin for x	-1	The country of origin for Baguette	France	Baguette	[' is', ' France', '.', '\n', '\n', 'B', 'agu', 'ette', ' is', ' a', ' French', ' bread', ' that', ' is', ' made', ' with', ' a', ' long', ',', ' thin']	" is  France . 
 
 B agu ette  is  a  French  bread  that  is  made  with  a  long ,  thin"	True	 introduced its BK Baguette line of sandwiches	6	[' introduced', ' its', ' B', 'K', ' B', 'agu', 'ette']
15	3	The country of origin for x	-1	The country of origin for Baguette	France	Baguette	[' is', ' France', '.', '\n', '\n', 'B', 'agu', 'ette', ' is', ' a', ' French', ' bread', ' that', ' is', ' made', ' with', ' a', ' long', ',', ' thin']	" is  France . 
 
 B agu ette  is  a  French  bread  that  is  made  with  a  long ,  thin"	True	 introduced its BK Baguette line of sandwiches	6	[' introduced', ' its', ' B', 'K', ' B', 'agu', 'ette']
16	5	The country of origin for x	-1	The country of origin for Paella	Spain	Paella	[' is', ' Spain', '.', '\n', '\n', 'The', ' Spanish', ' word', ' for', ' pa', 'ella', ' is', ' pa', 'ella', '.', '\n', '\n', 'The', ' Spanish', ' word']	" is  Spain . 
 
 The  Spanish  word  for  pa ella  is  pa ella . 
 
 The  Spanish  word"	True	 Balearic islands. Paella is a characteristic	6	[' Bal', 'ear', 'ic', ' islands', '.', ' Pa', 'ella']
17	5	The country of origin for x	-1	The country of origin for Paella	Spain	Paella	[' is', ' Spain', '.', '\n', '\n', 'The', ' Spanish', ' word', ' for', ' pa', 'ella', ' is', ' pa', 'ella', '.', '\n', '\n', 'The', ' Spanish', ' word']	" is  Spain . 
 
 The  Spanish  word  for  pa ella  is  pa ella . 
 
 The  Spanish  word"	True	 Balearic islands. Paella is a characteristic	6	[' Bal', 'ear', 'ic', ' islands', '.', ' Pa', 'ella']
18	5	The country of origin for x	-1	The country of origin for Paella	Spain	Paella	[' is', ' Spain', '.', '\n', '\n', 'The', ' Spanish', ' word', ' for', ' pa', 'ella', ' is', ' pa', 'ella', '.', '\n', '\n', 'The', ' Spanish', ' word']	" is  Spain . 
 
 The  Spanish  word  for  pa ella  is  pa ella . 
 
 The  Spanish  word"	True	 Balearic islands. Paella is a characteristic	6	[' Bal', 'ear', 'ic', ' islands', '.', ' Pa', 'ella']
19	5	The country of origin for x	-1	The country of origin for Paella	Spain	Paella	[' is', ' Spain', '.', '\n', '\n', 'The', ' Spanish', ' word', ' for', ' pa', 'ella', ' is', ' pa', 'ella', '.', '\n', '\n', 'The', ' Spanish', ' word']	" is  Spain . 
 
 The  Spanish  word  for  pa ella  is  pa ella . 
 
 The  Spanish  word"	True	 Balearic islands. Paella is a characteristic	6	[' Bal', 'ear', 'ic', ' islands', '.', ' Pa', 'ella']
