	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	2	The tool that is used for x	-1	The tool that is used for cutting	knife	cutting	[' the', ' wood', ' is', ' a', ' circular', ' saw', '.', '\n', '\n', 'The', ' wood', ' is', ' then', ' sand', 'ed', ' down', ' to', ' the', ' desired', ' thickness']	" the  wood  is  a  circular  saw . 
 
 The  wood  is  then  sand ed  down  to  the  desired  thickness"	False	 Stevens'ethics for cutting Duquette's LVAD	5	"[' Stevens', ""'"", 'eth', 'ics', ' for', ' cutting']"
1	2	The tool that is used for x	-1	The tool that is used for cutting	knife	cutting	[' the', ' wood', ' is', ' a', ' circular', ' saw', '.', '\n', '\n', 'The', ' wood', ' is', ' then', ' sand', 'ed', ' down', ' to', ' the', ' desired', ' thickness']	" the  wood  is  a  circular  saw . 
 
 The  wood  is  then  sand ed  down  to  the  desired  thickness"	False	 Edwards was habitually cutting himself and appeared	4	[' Edwards', ' was', ' habit', 'ually', ' cutting']
2	2	The tool that is used for x	-1	The tool that is used for cutting	knife	cutting	[' the', ' wood', ' is', ' a', ' circular', ' saw', '.', '\n', '\n', 'The', ' wood', ' is', ' then', ' sand', 'ed', ' down', ' to', ' the', ' desired', ' thickness']	" the  wood  is  a  circular  saw . 
 
 The  wood  is  then  sand ed  down  to  the  desired  thickness"	False	" ornaments and for cutting as money"", and they"	5	[' or', 'nam', 'ents', ' and', ' for', ' cutting']
3	2	The tool that is used for x	-1	The tool that is used for cutting	knife	cutting	[' the', ' wood', ' is', ' a', ' circular', ' saw', '.', '\n', '\n', 'The', ' wood', ' is', ' then', ' sand', 'ed', ' down', ' to', ' the', ' desired', ' thickness']	" the  wood  is  a  circular  saw . 
 
 The  wood  is  then  sand ed  down  to  the  desired  thickness"	False	 that involved cutting her down by one	2	[' that', ' involved', ' cutting']
4	2	The tool that is used for x	-1	The tool that is used for cutting	knife	cutting	[' the', ' wood', ' is', ' a', ' circular', ' saw', '.', '\n', '\n', 'The', ' wood', ' is', ' then', ' sand', 'ed', ' down', ' to', ' the', ' desired', ' thickness']	" the  wood  is  a  circular  saw . 
 
 The  wood  is  then  sand ed  down  to  the  desired  thickness"	False	 his third title by cutting 0.66 s from van	4	[' his', ' third', ' title', ' by', ' cutting']
5	3	The tool that is used for x	-1	The tool that is used for drilling holes	drill	drilling holes	[' in', ' the', ' wall', ' of', ' the', ' house', '.', '\n', '\n', 'The', ' tool', ' that', ' is', ' used', ' for', ' drilling', ' holes', ' in', ' the', ' wall']	" in  the  wall  of  the  house . 
 
 The  tool  that  is  used  for  drilling  holes  in  the  wall"	True	 the process of drilling holes and inserting fasteners.	4	[' the', ' process', ' of', ' drilling', ' holes']
6	3	The tool that is used for x	-1	The tool that is used for drilling holes	drill	drilling holes	[' in', ' the', ' wall', ' of', ' the', ' house', '.', '\n', '\n', 'The', ' tool', ' that', ' is', ' used', ' for', ' drilling', ' holes', ' in', ' the', ' wall']	" in  the  wall  of  the  house . 
 
 The  tool  that  is  used  for  drilling  holes  in  the  wall"	True	 can be tapped by drilling holes into their trunks	5	[' can', ' be', ' tapped', ' by', ' drilling', ' holes']
7	3	The tool that is used for x	-1	The tool that is used for drilling holes	drill	drilling holes	[' in', ' the', ' wall', ' of', ' the', ' house', '.', '\n', '\n', 'The', ' tool', ' that', ' is', ' used', ' for', ' drilling', ' holes', ' in', ' the', ' wall']	" in  the  wall  of  the  house . 
 
 The  tool  that  is  used  for  drilling  holes  in  the  wall"	True	 heavy equipment, drilling holes for the pipeline's	4	[' heavy', ' equipment', ',', ' drilling', ' holes']
8	3	The tool that is used for x	-1	The tool that is used for drilling holes	drill	drilling holes	[' in', ' the', ' wall', ' of', ' the', ' house', '.', '\n', '\n', 'The', ' tool', ' that', ' is', ' used', ' for', ' drilling', ' holes', ' in', ' the', ' wall']	" in  the  wall  of  the  house . 
 
 The  tool  that  is  used  for  drilling  holes  in  the  wall"	True	 harvested by drilling holes in the trunks of	3	[' harvested', ' by', ' drilling', ' holes']
9	3	The tool that is used for x	-1	The tool that is used for drilling holes	drill	drilling holes	[' in', ' the', ' wall', ' of', ' the', ' house', '.', '\n', '\n', 'The', ' tool', ' that', ' is', ' used', ' for', ' drilling', ' holes', ' in', ' the', ' wall']	" in  the  wall  of  the  house . 
 
 The  tool  that  is  used  for  drilling  holes  in  the  wall"	True	 can be tapped by drilling holes into their	5	[' can', ' be', ' tapped', ' by', ' drilling', ' holes']
10	4	The tool that is used for x	-1	The tool that is used for sawing wood	saw	sawing wood	[' is', ' called', ' a', ' circular', ' saw', '.', ' It', ' is', ' a', ' tool', ' that', ' is', ' used', ' to', ' cut', ' wood', ' into', ' different', ' shapes', '.']	 is  called  a  circular  saw .  It  is  a  tool  that  is  used  to  cut  wood  into  different  shapes .	True	" manager has been' sawing wood 'and not talking""."	6	"[' manager', ' has', ' been', ""'"", ' saw', 'ing', ' wood']"
11	8	The tool that is used for x	-1	The tool that is used for sweeping floors	broom	sweeping floors	[',', ' cleaning', ' windows', ',', ' and', ' cleaning', ' the', ' house', '.', '\n', '\n', 'The', ' best', ' way', ' to', ' clean', ' your', ' house', ' is', ' to']	",  cleaning  windows ,  and  cleaning  the  house . 
 
 The  best  way  to  clean  your  house  is  to"	False	 semesters at Cumberland by sweeping floors and firing furnaces	7	[' sem', 'esters', ' at', ' Cumber', 'land', ' by', ' sweeping', ' floors']
12	9	The tool that is used for x	-1	The tool that is used for washing dishes	sponge	washing dishes	[',', ' cleaning', ' the', ' house', ',', ' and', ' doing', ' laundry', '.', '\n', '\n', 'The', ' tool', ' that', ' is', ' used', ' for', ' washing', ' dishes', ',']	",  cleaning  the  house ,  and  doing  laundry . 
 
 The  tool  that  is  used  for  washing  dishes ,"	False	 it features Utada washing dishes and drinking	5	[' it', ' features', ' Ut', 'ada', ' washing', ' dishes']
