	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	3	The company which developed x	-1	The company which developed iPhone 5	Apple	iPhone 5	"['S' ' and' ' iPhone' ' 5' 'C' '.' '\n' '\n' 'The' ' iPhone' ' 5' 'S'
 ' and' ' iPhone' ' 5' 'C' ' are' ' the' ' two' ' new']"	"S  and  iPhone  5 C . 
 
 The  iPhone  5 S  and  iPhone  5 C  are  the  two  new"	False		1	['iPhone', ' 5']
1	3	The company which developed x	-1	The company which developed iPhone 5	Apple	iPhone 5	"['S' ' and' ' iPhone' ' 5' 'C' '.' '\n' '\n' 'The' ' iPhone' ' 5' 'S'
 ' and' ' iPhone' ' 5' 'C' ' are' ' the' ' two' ' new']"	"S  and  iPhone  5 C . 
 
 The  iPhone  5 S  and  iPhone  5 C  are  the  two  new"	False	 connectivity via the iPhone 5 to their customers	4	[' connectivity', ' via', ' the', ' iPhone', ' 5']
2	3	The company which developed x	-1	The company which developed iPhone 5	Apple	iPhone 5	"['S' ' and' ' iPhone' ' 5' 'C' '.' '\n' '\n' 'The' ' iPhone' ' 5' 'S'
 ' and' ' iPhone' ' 5' 'C' ' are' ' the' ' two' ' new']"	"S  and  iPhone  5 C . 
 
 The  iPhone  5 S  and  iPhone  5 C  are  the  two  new"	False	 Initial demand for the iPhone 5 exceeded the supply	5	[' Initial', ' demand', ' for', ' the', ' iPhone', ' 5']
3	3	The company which developed x	-1	The company which developed iPhone 5	Apple	iPhone 5	"['S' ' and' ' iPhone' ' 5' 'C' '.' '\n' '\n' 'The' ' iPhone' ' 5' 'S'
 ' and' ' iPhone' ' 5' 'C' ' are' ' the' ' two' ' new']"	"S  and  iPhone  5 C . 
 
 The  iPhone  5 S  and  iPhone  5 C  are  the  two  new"	False	 pictures taken on iPhone 5 camera. Apple's	4	[' pictures', ' taken', ' on', ' iPhone', ' 5']
4	3	The company which developed x	-1	The company which developed iPhone 5	Apple	iPhone 5	"['S' ' and' ' iPhone' ' 5' 'C' '.' '\n' '\n' 'The' ' iPhone' ' 5' 'S'
 ' and' ' iPhone' ' 5' 'C' ' are' ' the' ' two' ' new']"	"S  and  iPhone  5 C . 
 
 The  iPhone  5 S  and  iPhone  5 C  are  the  two  new"	False		1	['iPhone', ' 5']
5	4	The company which developed x	-1	The company which developed Wii Balance Board	Nintendo	Wii Balance Board	"[' is' ' a' ' company' ' that' ' has' ' been' ' around' ' for' ' a'
 ' while' ',' ' and' ' has' ' been' ' making' ' a' ' name' ' for'
 ' itself' ' in']"	 is  a  company  that  has  been  around  for  a  while ,  and  has  been  making  a  name  for  itself  in	False	 unveiled the Wii Balance Board at E3 2007 with Wii	4	[' unveiled', ' the', ' Wii', ' Balance', ' Board']
6	6	The company which developed x	-1	The company which developed Lancia 037	Fiat	Lancia 037	"[',' ' the' ' first' ' car' ' to' ' be' ' built' ' in' ' Italy' ' since'
 ' the' ' war' ',' ' was' ' a' ' joint' ' venture' ' between' ' Lanc' 'ia']"	,  the  first  car  to  be  built  in  Italy  since  the  war ,  was  a  joint  venture  between  Lanc ia	False	 Toivonen had his Lancia 037 debut in Portugal	8	[' To', 'iv', 'onen', ' had', ' his', ' Lanc', 'ia', ' 0', '37']
7	6	The company which developed x	-1	The company which developed Lancia 037	Fiat	Lancia 037	"[',' ' the' ' first' ' car' ' to' ' be' ' built' ' in' ' Italy' ' since'
 ' the' ' war' ',' ' was' ' a' ' joint' ' venture' ' between' ' Lanc' 'ia']"	,  the  first  car  to  be  built  in  Italy  since  the  war ,  was  a  joint  venture  between  Lanc ia	False	 dominated by the Lancia 037 and Mouton finished	6	[' dominated', ' by', ' the', ' Lanc', 'ia', ' 0', '37']
8	6	The company which developed x	-1	The company which developed Lancia 037	Fiat	Lancia 037	"[',' ' the' ' first' ' car' ' to' ' be' ' built' ' in' ' Italy' ' since'
 ' the' ' war' ',' ' was' ' a' ' joint' ' venture' ' between' ' Lanc' 'ia']"	,  the  first  car  to  be  built  in  Italy  since  the  war ,  was  a  joint  venture  between  Lanc ia	False	 Toivonen had his Lancia 037 debut in Portugal	8	[' To', 'iv', 'onen', ' had', ' his', ' Lanc', 'ia', ' 0', '37']
9	6	The company which developed x	-1	The company which developed Lancia 037	Fiat	Lancia 037	"[',' ' the' ' first' ' car' ' to' ' be' ' built' ' in' ' Italy' ' since'
 ' the' ' war' ',' ' was' ' a' ' joint' ' venture' ' between' ' Lanc' 'ia']"	,  the  first  car  to  be  built  in  Italy  since  the  war ,  was  a  joint  venture  between  Lanc ia	False	 Toivonen had his Lancia 037 debut in Portugal	8	[' To', 'iv', 'onen', ' had', ' his', ' Lanc', 'ia', ' 0', '37']
10	6	The company which developed x	-1	The company which developed Lancia 037	Fiat	Lancia 037	"[',' ' the' ' first' ' car' ' to' ' be' ' built' ' in' ' Italy' ' since'
 ' the' ' war' ',' ' was' ' a' ' joint' ' venture' ' between' ' Lanc' 'ia']"	,  the  first  car  to  be  built  in  Italy  since  the  war ,  was  a  joint  venture  between  Lanc ia	False	 Toivonen crashed his Lancia 037 into a brick	8	[' To', 'iv', 'onen', ' crashed', ' his', ' Lanc', 'ia', ' 0', '37']
11	7	The company which developed x	-1	The company which developed Windows Server 2003	Microsoft	Windows Server 2003	"[' and' ' Windows' ' Server' ' 2008' ' R' '2' ',' ' Microsoft' ' has'
 ' released' ' a' ' new' ' version' ' of' ' the' ' operating' ' system'
 ',' ' Windows' ' Server']"	 and  Windows  Server  2008  R 2 ,  Microsoft  has  released  a  new  version  of  the  operating  system ,  Windows  Server	True	" 2003 (unsupported)
"	7	[' 2003', ' (', 'un', 'supported', ')', 'Windows', ' Server', ' 2003']
12	7	The company which developed x	-1	The company which developed Windows Server 2003	Microsoft	Windows Server 2003	"[' and' ' Windows' ' Server' ' 2008' ' R' '2' ',' ' Microsoft' ' has'
 ' released' ' a' ' new' ' version' ' of' ' the' ' operating' ' system'
 ',' ' Windows' ' Server']"	 and  Windows  Server  2008  R 2 ,  Microsoft  has  released  a  new  version  of  the  operating  system ,  Windows  Server	True	" 2003 (unsupported)
"	7	[' 2003', ' (', 'un', 'supported', ')', 'Windows', ' Server', ' 2003']
13	7	The company which developed x	-1	The company which developed Windows Server 2003	Microsoft	Windows Server 2003	"[' and' ' Windows' ' Server' ' 2008' ' R' '2' ',' ' Microsoft' ' has'
 ' released' ' a' ' new' ' version' ' of' ' the' ' operating' ' system'
 ',' ' Windows' ' Server']"	 and  Windows  Server  2008  R 2 ,  Microsoft  has  released  a  new  version  of  the  operating  system ,  Windows  Server	True	" 2003 (unsupported)
"	7	[' 2003', ' (', 'un', 'supported', ')', 'Windows', ' Server', ' 2003']
