	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	In their sport, the position played by x	-1	In their sport, the position played by Percy Snow	linebacker	Percy Snow	"[' in' ' the' ' film' ',' ' the' ' character' ' of' ' the' ' hero' ' is'
 ' a' ' bit' ' more' ' complex' '.' ' He' ' is' ' a' ' man' ' who']"	 in  the  film ,  the  character  of  the  hero  is  a  bit  more  complex .  He  is  a  man  who	False	 is the sister of Percy Snow and Eric Snow,	5	[' is', ' the', ' sister', ' of', ' Percy', ' Snow']
1	0	In their sport, the position played by x	-1	In their sport, the position played by Percy Snow	linebacker	Percy Snow	"[' in' ' the' ' film' ',' ' the' ' character' ' of' ' the' ' hero' ' is'
 ' a' ' bit' ' more' ' complex' '.' ' He' ' is' ' a' ' man' ' who']"	 in  the  film ,  the  character  of  the  hero  is  a  bit  more  complex .  He  is  a  man  who	False	 is the sister of Percy Snow and Eric Snow,	5	[' is', ' the', ' sister', ' of', ' Percy', ' Snow']
2	2	In their sport, the position played by x	-1	In their sport, the position played by Ruud Gullit	midfielder	Ruud Gullit	"[',' ' the' ' Dutch' 'man' ' who' ' was' ' the' ' first' ' player' ' to'
 ' score' ' a' ' hat' '-' 'tr' 'ick' ' in' ' a' ' World' ' Cup']"	,  the  Dutch man  who  was  the  first  player  to  score  a  hat - tr ick  in  a  World  Cup	False	 13th again, with Ruud Gullit having replaced Kenny	9	[' 13', 'th', ' again', ',', ' with', ' Ru', 'ud', ' G', 'ull', 'it']
3	2	In their sport, the position played by x	-1	In their sport, the position played by Ruud Gullit	midfielder	Ruud Gullit	"[',' ' the' ' Dutch' 'man' ' who' ' was' ' the' ' first' ' player' ' to'
 ' score' ' a' ' hat' '-' 'tr' 'ick' ' in' ' a' ' World' ' Cup']"	,  the  Dutch man  who  was  the  first  player  to  score  a  hat - tr ick  in  a  World  Cup	False	 resignation of Ruud Gullit at Newcastle United,	6	[' resignation', ' of', ' Ru', 'ud', ' G', 'ull', 'it']
4	2	In their sport, the position played by x	-1	In their sport, the position played by Ruud Gullit	midfielder	Ruud Gullit	"[',' ' the' ' Dutch' 'man' ' who' ' was' ' the' ' first' ' player' ' to'
 ' score' ' a' ' hat' '-' 'tr' 'ick' ' in' ' a' ' World' ' Cup']"	,  the  Dutch man  who  was  the  first  player  to  score  a  hat - tr ick  in  a  World  Cup	False	 the resignation of Ruud Gullit at Newcastle United,	7	[' the', ' resignation', ' of', ' Ru', 'ud', ' G', 'ull', 'it']
5	2	In their sport, the position played by x	-1	In their sport, the position played by Ruud Gullit	midfielder	Ruud Gullit	"[',' ' the' ' Dutch' 'man' ' who' ' was' ' the' ' first' ' player' ' to'
 ' score' ' a' ' hat' '-' 'tr' 'ick' ' in' ' a' ' World' ' Cup']"	,  the  Dutch man  who  was  the  first  player  to  score  a  hat - tr ick  in  a  World  Cup	False	 appointment of Ruud Gullit as player-manager	6	[' appointment', ' of', ' Ru', 'ud', ' G', 'ull', 'it']
6	2	In their sport, the position played by x	-1	In their sport, the position played by Ruud Gullit	midfielder	Ruud Gullit	"[',' ' the' ' Dutch' 'man' ' who' ' was' ' the' ' first' ' player' ' to'
 ' score' ' a' ' hat' '-' 'tr' 'ick' ' in' ' a' ' World' ' Cup']"	,  the  Dutch man  who  was  the  first  player  to  score  a  hat - tr ick  in  a  World  Cup	False	 European side coached by Ruud Gullit and an all-Italian	8	[' European', ' side', ' coached', ' by', ' Ru', 'ud', ' G', 'ull', 'it']
7	4	In their sport, the position played by x	-1	In their sport, the position played by Lars Ricken	midfielder	Lars Ricken	"['backer' ',' ' the' ' player' ' who' ' is' ' the' ' most' ' famous'
 ' for' ' his' ' work' ' with' ' the' ' band' ' The' ' Beach' ' Boys' ','
 ' is']"	backer ,  the  player  who  is  the  most  famous  for  his  work  with  the  band  The  Beach  Boys ,  is	False	 on 57 minutes, Lars Ricken on 70 minutes,	6	[' on', ' 57', ' minutes', ',', ' Lars', ' R', 'icken']
8	4	In their sport, the position played by x	-1	In their sport, the position played by Lars Ricken	midfielder	Lars Ricken	"['backer' ',' ' the' ' player' ' who' ' is' ' the' ' most' ' famous'
 ' for' ' his' ' work' ' with' ' the' ' band' ' The' ' Beach' ' Boys' ','
 ' is']"	backer ,  the  player  who  is  the  most  famous  for  his  work  with  the  band  The  Beach  Boys ,  is	False	 equaliser replacing Lars Ricken with Jörg Heinrich,	5	[' equal', 'iser', ' replacing', ' Lars', ' R', 'icken']
9	4	In their sport, the position played by x	-1	In their sport, the position played by Lars Ricken	midfielder	Lars Ricken	"['backer' ',' ' the' ' player' ' who' ' is' ' the' ' most' ' famous'
 ' for' ' his' ' work' ' with' ' the' ' band' ' The' ' Beach' ' Boys' ','
 ' is']"	backer ,  the  player  who  is  the  most  famous  for  his  work  with  the  band  The  Beach  Boys ,  is	False	 on 57 minutes, Lars Ricken on 70 minutes,	6	[' on', ' 57', ' minutes', ',', ' Lars', ' R', 'icken']
