col1,all tags
"Hey, how's it going?",User
I told you it was going to rain.,User
Have a great day!,User
How can I help you today?,User
I would recommend going for a run.,User
Thanks for the advice.,User
My favorite book is The Hobbit.,User
"I cannot drive, but I like to bike.",User
You sure look nice today!\n,"Synthetic, ULM 24B"
A cat's paw is shaped like a heart.,"Synthetic, ULM 24B"
"Hey, what's up today?","Synthetic, ULM 24B"
I would recommend eating some fruits today.,"Synthetic, ULM 24B"
I would also like a salad.,"Synthetic, ULM 24B"
"Your welcome, have a great day!","Synthetic, ULM 24B"
"I love to cook, but I don't always have time.","Synthetic, ULM 24B"
Do you want to go to dinner together?,"Synthetic, ULM 24B"
"I am not married, but I do have a girlfriend.","Synthetic, ULM 24B"
I don't have a favorite movie.,"Synthetic, ULM 24B"
I will be here until 11:00.,"Synthetic, ULM 24B"
I'm looking for a place to eat.,"Synthetic, ULM 24B"
What you said made sense.,"Synthetic, ULM 24B"
"I am a bot, not human.","Synthetic, ULM 24B"
I'm an outgoing person who enjoys hiking.,"Synthetic, ULM 24B"
I'm not allowed to bike in the street.,"Synthetic, ULM 24B"
How about we get some ice cream?,"Synthetic, ULM 24B"
I would like some pizza.,"Synthetic, ULM 24B"
I didn't pass the exam.,"Synthetic, ULM 24B"
Why are you wearing all black?,"Synthetic, ULM 24B"
What do you know about the weather?,"Synthetic, ULM 24B"
I prefer to eat a salad.,"Synthetic, ULM 24B"
Do you like anime?,"Synthetic, ULM 24B"
I have two cats and one dog.,"Synthetic, ULM 24B"
I'm sorry to hear that.,"Synthetic, ULM 24B"
Is this your dog?,"Synthetic, ULM 24B"
Did you see that movie yesterday?,"Synthetic, ULM 24B"
I am going to the beach today.,"Synthetic, ULM 24B"
Sure.,"Synthetic, ULM 24B"
We love to play basketball.,"Synthetic, ULM 24B"
"Yes, that sounds good.","Synthetic, ULM 24B"
You look great!,"Synthetic, ULM 24B"
My favorite movie is The Hangover.,"Synthetic, ULM 24B"
You have my number.,"Synthetic, ULM 24B"
That's a great question!,"Synthetic, ULM 24B"
"I love you, and I miss you too.","Synthetic, ULM 24B"
"Oh yeah, me too.","Synthetic, ULM 24B"
Have a nice day!,"Synthetic, ULM 24B"
I forgot to add the salt.,"Synthetic, ULM 24B"
Are you doing well?,"Synthetic, ULM 24B"
I'm having a pretty good day so far.,"Synthetic, ULM 24B"
I like skiing.,"Synthetic, ULM 24B"
Have a good semester.,"Synthetic, ULM 24B"
It is going to be a beautiful day.,"Synthetic, ULM 24B"
It looks like it might rain today.,"Synthetic, ULM 24B"
Here you go.,"Synthetic, ULM 24B"
I can do that if you'd like.,"Synthetic, ULM 24B"
What is your favorite movie genre?,"Synthetic, ULM 24B"
What time will you be home today?,"Synthetic, ULM 24B"
I know that you are right.,"Synthetic, ULM 24B"
My favorite movie is Harry Potter.,"Synthetic, ULM 24B"
The Hobbit? What a great movie!,"Synthetic, ULM 24B"
I am a huge fan of this author.,"Synthetic, ULM 24B"
I am sorry for what I said.,"Synthetic, ULM 24B"
Do you like to travel?,"Synthetic, ULM 24B"
What happened to your shoes?,"Synthetic, ULM 24B"
Is my hair really this greasy?,"Synthetic, ULM 24B"
What do you think about the new movie?,"Synthetic, ULM 24B"
I don't feel like doing anything.,"Synthetic, ULM 24B"
I have a lot of work to do.,"Synthetic, ULM 24B"
Did you know that the sun is about 1.5 million kilometers from the earth?,"Synthetic, ULM 24B"
Let's meet at the park tomorrow at 1 pm.,"Synthetic, ULM 24B"
