	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The capital city of x	-1	The capital city of United States	Washington D.C.	United States	[',', ' Washington', ',', ' is', ' a', ' city', ' of', ' many', ' faces', '.', ' It', ' is', ' a', ' city', ' of', ' the', ' past', ',', ' present', ' and']	,  Washington ,  is  a  city  of  many  faces .  It  is  a  city  of  the  past ,  present  and	False	 ancestors came to the United States with William	5	[' ancestors', ' came', ' to', ' the', ' United', ' States']
1	0	The capital city of x	-1	The capital city of United States	Washington D.C.	United States	[',', ' Washington', ',', ' is', ' a', ' city', ' of', ' many', ' faces', '.', ' It', ' is', ' a', ' city', ' of', ' the', ' past', ',', ' present', ' and']	,  Washington ,  is  a  city  of  many  faces .  It  is  a  city  of  the  past ,  present  and	False	 service with the United States Navy. At the end	4	[' service', ' with', ' the', ' United', ' States']
2	0	The capital city of x	-1	The capital city of United States	Washington D.C.	United States	[',', ' Washington', ',', ' is', ' a', ' city', ' of', ' many', ' faces', '.', ' It', ' is', ' a', ' city', ' of', ' the', ' past', ',', ' present', ' and']	,  Washington ,  is  a  city  of  many  faces .  It  is  a  city  of  the  past ,  present  and	False	 programs in the United States having been to 20 College	4	[' programs', ' in', ' the', ' United', ' States']
3	0	The capital city of x	-1	The capital city of United States	Washington D.C.	United States	[',', ' Washington', ',', ' is', ' a', ' city', ' of', ' many', ' faces', '.', ' It', ' is', ' a', ' city', ' of', ' the', ' past', ',', ' present', ' and']	,  Washington ,  is  a  city  of  many  faces .  It  is  a  city  of  the  past ,  present  and	False	 report by the United States Joint Forces Command	4	[' report', ' by', ' the', ' United', ' States']
4	0	The capital city of x	-1	The capital city of United States	Washington D.C.	United States	[',', ' Washington', ',', ' is', ' a', ' city', ' of', ' many', ' faces', '.', ' It', ' is', ' a', ' city', ' of', ' the', ' past', ',', ' present', ' and']	,  Washington ,  is  a  city  of  many  faces .  It  is  a  city  of  the  past ,  present  and	False	 broadcast in the United States on USAHD at 6	4	[' broadcast', ' in', ' the', ' United', ' States']
5	1	The capital city of x	-1	The capital city of Canada	Ottawa	Canada	[',', ' Ottawa', ' is', ' a', ' beautiful', ' city', ' with', ' a', ' lot', ' to', ' offer', '.', ' It', ' is', ' the', ' capital', ' of', ' Canada', ' and', ' is']	,  Ottawa  is  a  beautiful  city  with  a  lot  to  offer .  It  is  the  capital  of  Canada  and  is	True	 Australia, he moved to Canada at the age of 6,	5	[' Australia', ',', ' he', ' moved', ' to', ' Canada']
6	1	The capital city of x	-1	The capital city of Canada	Ottawa	Canada	[',', ' Ottawa', ' is', ' a', ' beautiful', ' city', ' with', ' a', ' lot', ' to', ' offer', '.', ' It', ' is', ' the', ' capital', ' of', ' Canada', ' and', ' is']	,  Ottawa  is  a  beautiful  city  with  a  lot  to  offer .  It  is  the  capital  of  Canada  and  is	True	 United States and Canada on May 16, 2008.	3	[' United', ' States', ' and', ' Canada']
7	1	The capital city of x	-1	The capital city of Canada	Ottawa	Canada	[',', ' Ottawa', ' is', ' a', ' beautiful', ' city', ' with', ' a', ' lot', ' to', ' offer', '.', ' It', ' is', ' the', ' capital', ' of', ' Canada', ' and', ' is']	,  Ottawa  is  a  beautiful  city  with  a  lot  to  offer .  It  is  the  capital  of  Canada  and  is	True	 1967. In 1969, Canada saw its first	5	[' 1967', '.', ' In', ' 1969', ',', ' Canada']
8	1	The capital city of x	-1	The capital city of Canada	Ottawa	Canada	[',', ' Ottawa', ' is', ' a', ' beautiful', ' city', ' with', ' a', ' lot', ' to', ' offer', '.', ' It', ' is', ' the', ' capital', ' of', ' Canada', ' and', ' is']	,  Ottawa  is  a  beautiful  city  with  a  lot  to  offer .  It  is  the  capital  of  Canada  and  is	True	 Natural Resources Canada and volcanologist	2	[' Natural', ' Resources', ' Canada']
9	1	The capital city of x	-1	The capital city of Canada	Ottawa	Canada	[',', ' Ottawa', ' is', ' a', ' beautiful', ' city', ' with', ' a', ' lot', ' to', ' offer', '.', ' It', ' is', ' the', ' capital', ' of', ' Canada', ' and', ' is']	,  Ottawa  is  a  beautiful  city  with  a  lot  to  offer .  It  is  the  capital  of  Canada  and  is	True	 to relocate from Canada to the United	3	[' to', ' relocate', ' from', ' Canada']
