	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The name of the CEO of x	-1	The name of the CEO of Alphabet	Sundar Pichai	Alphabet	"[' Inc' '.' ' is' ' Larry' ' Page' '.' ' He' ' is' ' the' ' founder' ' of'
 ' Google' '.' ' He' ' is' ' also' ' the' ' CEO' ' of' ' Alphabet']"	 Inc .  is  Larry  Page .  He  is  the  founder  of  Google .  He  is  also  the  CEO  of  Alphabet	False	 the Common Turkic Alphabet in which most	4	[' the', ' Common', ' Turk', 'ic', ' Alphabet']
1	0	The name of the CEO of x	-1	The name of the CEO of Alphabet	Sundar Pichai	Alphabet	"[' Inc' '.' ' is' ' Larry' ' Page' '.' ' He' ' is' ' the' ' founder' ' of'
 ' Google' '.' ' He' ' is' ' also' ' the' ' CEO' ' of' ' Alphabet']"	 Inc .  is  Larry  Page .  He  is  the  founder  of  Google .  He  is  also  the  CEO  of  Alphabet	False	 Initial Teaching Alphabet in 1965. The tale	2	[' Initial', ' Teaching', ' Alphabet']
2	0	The name of the CEO of x	-1	The name of the CEO of Alphabet	Sundar Pichai	Alphabet	"[' Inc' '.' ' is' ' Larry' ' Page' '.' ' He' ' is' ' the' ' founder' ' of'
 ' Google' '.' ' He' ' is' ' also' ' the' ' CEO' ' of' ' Alphabet']"	 Inc .  is  Larry  Page .  He  is  the  founder  of  Google .  He  is  also  the  CEO  of  Alphabet	False	" International Phonetic Alphabet may be used.
"	4	[' International', ' Ph', 'on', 'etic', ' Alphabet']
3	0	The name of the CEO of x	-1	The name of the CEO of Alphabet	Sundar Pichai	Alphabet	"[' Inc' '.' ' is' ' Larry' ' Page' '.' ' He' ' is' ' the' ' founder' ' of'
 ' Google' '.' ' He' ' is' ' also' ' the' ' CEO' ' of' ' Alphabet']"	 Inc .  is  Larry  Page .  He  is  the  founder  of  Google .  He  is  also  the  CEO  of  Alphabet	False	 of the Hebrew Alphabet outside Hebrew liturgy	3	[' of', ' the', ' Hebrew', ' Alphabet']
4	0	The name of the CEO of x	-1	The name of the CEO of Alphabet	Sundar Pichai	Alphabet	"[' Inc' '.' ' is' ' Larry' ' Page' '.' ' He' ' is' ' the' ' founder' ' of'
 ' Google' '.' ' He' ' is' ' also' ' the' ' CEO' ' of' ' Alphabet']"	 Inc .  is  Larry  Page .  He  is  the  founder  of  Google .  He  is  also  the  CEO  of  Alphabet	False	 use the Phonetic Alphabet for these storms.	5	[' use', ' the', ' Ph', 'on', 'etic', ' Alphabet']
5	1	The name of the CEO of x	-1	The name of the CEO of Tesla	Elon Musk	Tesla	"[' is' ' Elon' ' Musk' '.' '\n' '\n' 'The' ' name' ' of' ' the' ' CEO'
 ' of' ' Tesla' ' is' ' Elon' ' Musk' '.' '\n' '\n' 'The']"	" is  Elon  Musk . 
 
 The  name  of  the  CEO  of  Tesla  is  Elon  Musk . 
 
 The"	True	 computation in their Tesla series. The technology	3	[' computation', ' in', ' their', ' Tesla']
6	1	The name of the CEO of x	-1	The name of the CEO of Tesla	Elon Musk	Tesla	"[' is' ' Elon' ' Musk' '.' '\n' '\n' 'The' ' name' ' of' ' the' ' CEO'
 ' of' ' Tesla' ' is' ' Elon' ' Musk' '.' '\n' '\n' 'The']"	" is  Elon  Musk . 
 
 The  name  of  the  CEO  of  Tesla  is  Elon  Musk . 
 
 The"	True	 for example, with Tesla Motors' Twitter	4	[' for', ' example', ',', ' with', ' Tesla']
7	1	The name of the CEO of x	-1	The name of the CEO of Tesla	Elon Musk	Tesla	"[' is' ' Elon' ' Musk' '.' '\n' '\n' 'The' ' name' ' of' ' the' ' CEO'
 ' of' ' Tesla' ' is' ' Elon' ' Musk' '.' '\n' '\n' 'The']"	" is  Elon  Musk . 
 
 The  name  of  the  CEO  of  Tesla  is  Elon  Musk . 
 
 The"	True		0	['Tesla']
8	1	The name of the CEO of x	-1	The name of the CEO of Tesla	Elon Musk	Tesla	"[' is' ' Elon' ' Musk' '.' '\n' '\n' 'The' ' name' ' of' ' the' ' CEO'
 ' of' ' Tesla' ' is' ' Elon' ' Musk' '.' '\n' '\n' 'The']"	" is  Elon  Musk . 
 
 The  name  of  the  CEO  of  Tesla  is  Elon  Musk . 
 
 The"	True	 experiments with Tesla coils proved insufficient.	2	[' experiments', ' with', ' Tesla']
9	1	The name of the CEO of x	-1	The name of the CEO of Tesla	Elon Musk	Tesla	"[' is' ' Elon' ' Musk' '.' '\n' '\n' 'The' ' name' ' of' ' the' ' CEO'
 ' of' ' Tesla' ' is' ' Elon' ' Musk' '.' '\n' '\n' 'The']"	" is  Elon  Musk . 
 
 The  name  of  the  CEO  of  Tesla  is  Elon  Musk . 
 
 The"	True	 Belgrade Nikola Tesla Airport was	3	[' Bel', 'grade', ' Nikola', ' Tesla']
