query,recommended artists,all tags
techno music that isn't harsh,"Caribou, Four Tet, Flying Lotus, Four Tet, Gold Panda",Uploaded
oldies but goodies,"Aretha Franklin, The Beach Boys, Stevie Wonder, The Supremes, Bill Withers",Uploaded
music that makes you want to dance,"Daft Punk, LCD Soundsystem, Fatboy Slim, Caravan Palace",Uploaded
non-twangy country music,"Johnny Cash, Willie Nelson, George Strait, Hank Williams Jr., Dolly Parton",Uploaded
music that sounds like a horror movie,"The Misfits, John Carpenter, John Williams, Behemoth, Ghost",Uploaded
music for a wedding,"The Beatles, The Beach Boys, Frank Sinatra, Louis Armstrong, Ella Fitzgerald",Uploaded
chill out music,"Bonobo, Thievery Corporation, Massive Attack, The Cinematic Orchestra",Uploaded
new age music,"Enya, Enigma, Deep Forest, Yanni, Vangelis",Uploaded
singers with really high voices,"Shirley Bassey, Judy Garland, Barbra Streisand, Mariah Carey",Uploaded
modern classical music that isn't boring,"John Adams, Philip Glass, Arvo Pärt, Steve Reich, John Cage",Uploaded
experimental music,"Animal Collective, Death Grips, Aphex Twin, Flying Lotus, Frank Zappa",Uploaded
pop with horns,"Chicago, Blood Sweat & Tears, Tower of Power, The Band, Bruno Mars",Uploaded
singer-songwrit​ers with full bands,"Sufjan Stevens, Iron & Wine, The Tallest Man on Earth, Bon Iver, David Gray",Uploaded
streaming jazz,"Charles Mingus, Miles Davis, John Coltrane, Thelonious Monk, Dizzy Gillespie",Uploaded
chamber orchestra,"George Frideric Handel, Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ludwig van Beethoven, Franz Joseph Haydn",Uploaded
intense songwriting,"Joanna Newsom, The Mountain Goats, Swans, Neutral Milk Hotel, Elliott Smith",Uploaded
new age/chill music,"Vangelis, Enya, Enigma, Deep Forest, Yanni","Synthetic, ULM 24B"
non-twangy bluegrass,"Bill Monroe, John Hartford, Ralph Stanley, David Grisman, New Grass Revival","Synthetic, ULM 24B"
bluegrass,"Doc Watson, The Dillards, Ralph Stanley, New Grass Revival, Earl Scruggs","Synthetic, ULM 24B"
folk/indie?,"The Shins, Fleet Foxes, The Antlers, Bon Iver, Animal Collective","Synthetic, ULM 24B"
piano bar music,"Vaughan Williams, Bill Evans, Brad Mehldau, Keith Jarrett, Dave Holland","Synthetic, ULM 24B"
opera,"Placido Domingo, Luciano Pavarotti, Enrico Caruso, Birgit Nilsson, Dietrich Fischer-Dieskau","Synthetic, ULM 24B"
songs that make you want to dance,"AC/DC, Beastie Boys, Queen, The Clash, The Rolling Stones","Synthetic, ULM 24B"
dark ambient,"Dead Can Dance, Coil, Current 93, Zoviet France, Current Value","Synthetic, ULM 24B"
acoustic hip-hop,"A Tribe Called Quest, MF Doom, Gorillaz, The Pharcyde, Oddisee","Synthetic, ULM 24B"
music for driving,"Bruce Springsteen, Paul Simon, Bob Dylan, Tom Petty, Johnny Cash","Synthetic, ULM 24B"
bands with a brass section,"M. Ward, The Fratellis, No Doubt, Cake, The Hold Steady","Synthetic, ULM 24B"
music for making out,"The XX, The Weeknd, Frank Ocean, Lana Del Rey, Burial","Synthetic, ULM 24B"
good for a road trip,"The B-52's, Van Halen, The Cars, Aerosmith, Queen","Synthetic, ULM 24B"
happy dance music,"Marvin Gaye, Daft Punk, Pharrell Williams, Stevie Wonder, Rihanna","Synthetic, ULM 24B"
music for a funeral,"The Beatles, The Beach Boys, Frank Sinatra, Louis Armstrong, Ella Fitzgerald","Synthetic, ULM 24B"
dark and moody acoustic music,"Nick Drake, Iron & Wine, Bon Iver, Elliott Smith, Sufjan Stevens","Synthetic, ULM 24B"
good electronic playlists,"Aphex Twin, Flying Lotus, Daft Punk, Amon Tobin, Chrome Sparks","Synthetic, ULM 24B"
modern music,"M.I.A., Kanye West, Jay Z., Jay Electronica, Gorillaz","Synthetic, ULM 24B"
good songwrit​ers,"Sufjan Stevens, Bruce Springsteen, Bob Dylan, Elliott Smith, The Tallest Man on Earth","Synthetic, ULM 24B"
instrumental with a melody,"Mogwai, Mogwai, M83, Sigur Rós, Max Richter","Synthetic, ULM 24B"
music for studying,"Bon Iver, Burial, Explosions in the Sky, Nils Frahm, Brian Eno","Synthetic, ULM 24B"
music that makes you feel like you're on a quest,"Lords of the Fallen Soundtrack, Skyrim Soundtrack, Assassin's Creed Soundtrack, Diablo 3 Soundtrack, World of Warcraft Soundtrack","Synthetic, ULM 24B"
music from the 1980's,"David Bowie, The Cure, Bruce Springsteen, Phil Collins, Joy Division","Synthetic, ULM 24B"
female-fronted rock bands,"The Julie Ruin, Sleater-Kinney, The Pipettes, The Donnas, Bikini Kill","Synthetic, ULM 24B"
alternative rock,"Joy Division, The Cure, Smashing Pumpkins, The Smiths, Talking Heads","Synthetic, ULM 24B"
classic country music,"Johnny Cash, Willie Nelson, George Strait, Hank Williams Jr., Dolly Parton","Synthetic, ULM 24B"
classical music that won't put me to sleep,"Mozart, Bach, Haydn, Handel, Vivaldi","Synthetic, ULM 24B"
punk in the New York style,"Blondie, The Ramones, Talking Heads, New York Dolls, The Strokes","Synthetic, ULM 24B"
female vocalists,"Carole King, Joni Mitchell, Madonna, Whitney Houston, Lady Gaga","Synthetic, ULM 24B"
