	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	Secret identity of x	-1	Secret identity of Superman	Clark Kent	Superman	['\n', '\n', 'The', ' secret', ' identity', ' of', ' Superman', ' is', ' Clark', ' Kent', ',', ' a', ' mild', '-', 'man', 'nered', ' reporter', ' for', ' the', ' Daily']	"
 
 The  secret  identity  of  Superman  is  Clark  Kent ,  a  mild - man nered  reporter  for  the  Daily"	True	 the traditional Superman costume, and	2	[' the', ' traditional', ' Superman']
1	0	Secret identity of x	-1	Secret identity of Superman	Clark Kent	Superman	['\n', '\n', 'The', ' secret', ' identity', ' of', ' Superman', ' is', ' Clark', ' Kent', ',', ' a', ' mild', '-', 'man', 'nered', ' reporter', ' for', ' the', ' Daily']	"
 
 The  secret  identity  of  Superman  is  Clark  Kent ,  a  mild - man nered  reporter  for  the  Daily"	True	 Vendetta and Singer's Superman Returns. Chris	5	"[' Vend', 'etta', ' and', ' Singer', ""'s"", ' Superman']"
2	0	Secret identity of x	-1	Secret identity of Superman	Clark Kent	Superman	['\n', '\n', 'The', ' secret', ' identity', ' of', ' Superman', ' is', ' Clark', ' Kent', ',', ' a', ' mild', '-', 'man', 'nered', ' reporter', ' for', ' the', ' Daily']	"
 
 The  secret  identity  of  Superman  is  Clark  Kent ,  a  mild - man nered  reporter  for  the  Daily"	True	 Bros. announced that Superman and Batman will unite	4	[' Bros', '.', ' announced', ' that', ' Superman']
3	0	Secret identity of x	-1	Secret identity of Superman	Clark Kent	Superman	['\n', '\n', 'The', ' secret', ' identity', ' of', ' Superman', ' is', ' Clark', ' Kent', ',', ' a', ' mild', '-', 'man', 'nered', ' reporter', ' for', ' the', ' Daily']	"
 
 The  secret  identity  of  Superman  is  Clark  Kent ,  a  mild - man nered  reporter  for  the  Daily"	True	" been dubbed Superman by the masses.
"	2	[' been', ' dubbed', ' Superman']
4	0	Secret identity of x	-1	Secret identity of Superman	Clark Kent	Superman	['\n', '\n', 'The', ' secret', ' identity', ' of', ' Superman', ' is', ' Clark', ' Kent', ',', ' a', ' mild', '-', 'man', 'nered', ' reporter', ' for', ' the', ' Daily']	"
 
 The  secret  identity  of  Superman  is  Clark  Kent ,  a  mild - man nered  reporter  for  the  Daily"	True	 DVD box set titled Superman Ultimate Collector's	4	[' DVD', ' box', ' set', ' titled', ' Superman']
5	1	Secret identity of x	-1	Secret identity of Batman	Bruce Wayne	Batman	['\n', '\n', 'Batman', ' is', ' a', ' fictional', ' character', ',', ' a', ' superhero', ' created', ' by', ' Bob', ' Kane', ' and', ' Bill', ' Finger', '.', ' He', ' first']	"
 
 Batman  is  a  fictional  character ,  a  superhero  created  by  Bob  Kane  and  Bill  Finger .  He  first"	False	 crime-fighting partner to Batman and ward of Bruce	5	[' crime', '-', 'fighting', ' partner', ' to', ' Batman']
6	1	Secret identity of x	-1	Secret identity of Batman	Bruce Wayne	Batman	['\n', '\n', 'Batman', ' is', ' a', ' fictional', ' character', ',', ' a', ' superhero', ' created', ' by', ' Bob', ' Kane', ' and', ' Bill', ' Finger', '.', ' He', ' first']	"
 
 Batman  is  a  fictional  character ,  a  superhero  created  by  Bob  Kane  and  Bill  Finger .  He  first"	False	 Robin (1997)	3	[' Robin', ' (', '1997', 'Batman']
7	1	Secret identity of x	-1	Secret identity of Batman	Bruce Wayne	Batman	['\n', '\n', 'Batman', ' is', ' a', ' fictional', ' character', ',', ' a', ' superhero', ' created', ' by', ' Bob', ' Kane', ' and', ' Bill', ' Finger', '.', ' He', ' first']	"
 
 Batman  is  a  fictional  character ,  a  superhero  created  by  Bob  Kane  and  Bill  Finger .  He  first"	False	 with alternate Batman outfits based	2	[' with', ' alternate', ' Batman']
8	1	Secret identity of x	-1	Secret identity of Batman	Bruce Wayne	Batman	['\n', '\n', 'Batman', ' is', ' a', ' fictional', ' character', ',', ' a', ' superhero', ' created', ' by', ' Bob', ' Kane', ' and', ' Bill', ' Finger', '.', ' He', ' first']	"
 
 Batman  is  a  fictional  character ,  a  superhero  created  by  Bob  Kane  and  Bill  Finger .  He  first"	False	 limited to the Batman Family, serving a	3	[' limited', ' to', ' the', ' Batman']
9	1	Secret identity of x	-1	Secret identity of Batman	Bruce Wayne	Batman	['\n', '\n', 'Batman', ' is', ' a', ' fictional', ' character', ',', ' a', ' superhero', ' created', ' by', ' Bob', ' Kane', ' and', ' Bill', ' Finger', '.', ' He', ' first']	"
 
 Batman  is  a  fictional  character ,  a  superhero  created  by  Bob  Kane  and  Bill  Finger .  He  first"	False	 dumping ground for Batman's psychotic	3	[' dumping', ' ground', ' for', ' Batman']
