	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The evolved form of x	-1	The evolved form of Bulbasaur	Ivysaur	Bulbasaur	[' is', ' a', ' Grass', '/', 'Po', 'ison', ' type', '.', '\n', '\n', 'Bul', 'bas', 'aur', ' is', ' a', ' Grass', '/', 'Po', 'ison', ' type']	" is  a  Grass / Po ison  type . 
 
 Bul bas aur  is  a  Grass / Po ison  type"	False	 Charmander (along with Bulbasaur and Squirtle)	7	[' Charm', 'ander', ' (', 'along', ' with', ' Bul', 'bas', 'aur']
1	0	The evolved form of x	-1	The evolved form of Bulbasaur	Ivysaur	Bulbasaur	[' is', ' a', ' Grass', '/', 'Po', 'ison', ' type', '.', '\n', '\n', 'Bul', 'bas', 'aur', ' is', ' a', ' Grass', '/', 'Po', 'ison', ' type']	" is  a  Grass / Po ison  type . 
 
 Bul bas aur  is  a  Grass / Po ison  type"	False	 Charmander (along with Bulbasaur and Squirtle)	7	[' Charm', 'ander', ' (', 'along', ' with', ' Bul', 'bas', 'aur']
2	0	The evolved form of x	-1	The evolved form of Bulbasaur	Ivysaur	Bulbasaur	[' is', ' a', ' Grass', '/', 'Po', 'ison', ' type', '.', '\n', '\n', 'Bul', 'bas', 'aur', ' is', ' a', ' Grass', '/', 'Po', 'ison', ' type']	" is  a  Grass / Po ison  type . 
 
 Bul bas aur  is  a  Grass / Po ison  type"	False	 Charmander (along with Bulbasaur and Squirtle) was added	7	[' Charm', 'ander', ' (', 'along', ' with', ' Bul', 'bas', 'aur']
3	1	The evolved form of x	-1	The evolved form of Charmander	Charmeleon	Charmander	[' is', ' a', ' fire', '-', 'type', ' Pokémon', '.', ' It', ' is', ' a', ' member', ' of', ' the', ' fire', '-', 'type', ' family', '.', ' It', ' is']	 is  a  fire - type  Pokémon .  It  is  a  member  of  the  fire - type  family .  It  is	False	 still had a Charmander instead of Charizard,	4	[' still', ' had', ' a', ' Charm', 'ander']
4	1	The evolved form of x	-1	The evolved form of Charmander	Charmeleon	Charmander	[' is', ' a', ' fire', '-', 'type', ' Pokémon', '.', ' It', ' is', ' a', ' member', ' of', ' the', ' fire', '-', 'type', ' family', '.', ' It', ' is']	 is  a  fire - type  Pokémon .  It  is  a  member  of  the  fire - type  family .  It  is	False	 (either Squirtle, Charmander or Bulbasaur)	7	[' (', 'either', ' Squ', 'irt', 'le', ',', ' Charm', 'ander']
5	1	The evolved form of x	-1	The evolved form of Charmander	Charmeleon	Charmander	[' is', ' a', ' fire', '-', 'type', ' Pokémon', '.', ' It', ' is', ' a', ' member', ' of', ' the', ' fire', '-', 'type', ' family', '.', ' It', ' is']	 is  a  fire - type  Pokémon .  It  is  a  member  of  the  fire - type  family .  It  is	False	 pre-evolutions Charmander and Charmeleon are	5	[' pre', '-', 'ev', 'olutions', ' Charm', 'ander']
6	1	The evolved form of x	-1	The evolved form of Charmander	Charmeleon	Charmander	[' is', ' a', ' fire', '-', 'type', ' Pokémon', '.', ' It', ' is', ' a', ' member', ' of', ' the', ' fire', '-', 'type', ' family', '.', ' It', ' is']	 is  a  fire - type  Pokémon .  It  is  a  member  of  the  fire - type  family .  It  is	False	 manga, Blue receives a Charmander from his grandfather	6	[' manga', ',', ' Blue', ' receives', ' a', ' Charm', 'ander']
7	1	The evolved form of x	-1	The evolved form of Charmander	Charmeleon	Charmander	[' is', ' a', ' fire', '-', 'type', ' Pokémon', '.', ' It', ' is', ' a', ' member', ' of', ' the', ' fire', '-', 'type', ' family', '.', ' It', ' is']	 is  a  fire - type  Pokémon .  It  is  a  member  of  the  fire - type  family .  It  is	False	 since he was a Charmander abandoned by his	5	[' since', ' he', ' was', ' a', ' Charm', 'ander']
8	2	The evolved form of x	-1	The evolved form of Squirtle	Wartortle	Squirtle	[' is', ' a', ' water', ' type', ',', ' and', ' it', ' is', ' a', ' water', ' type', ' that', ' is', ' very', ' good', ' at', ' using', ' water', ' attacks', '.']	 is  a  water  type ,  and  it  is  a  water  type  that  is  very  good  at  using  water  attacks .	False	 and Painter Squirtle (Maler Klecksel)	4	[' and', ' Painter', ' Squ', 'irt', 'le']
9	2	The evolved form of x	-1	The evolved form of Squirtle	Wartortle	Squirtle	[' is', ' a', ' water', ' type', ',', ' and', ' it', ' is', ' a', ' water', ' type', ' that', ' is', ' very', ' good', ' at', ' using', ' water', ' attacks', '.']	 is  a  water  type ,  and  it  is  a  water  type  that  is  very  good  at  using  water  attacks .	False	" ""Here Comes the Squirtle Squad"", ""Beach"	6	"[' ""', 'Here', ' Comes', ' the', ' Squ', 'irt', 'le']"
10	2	The evolved form of x	-1	The evolved form of Squirtle	Wartortle	Squirtle	[' is', ' a', ' water', ' type', ',', ' and', ' it', ' is', ' a', ' water', ' type', ' that', ' is', ' very', ' good', ' at', ' using', ' water', ' attacks', '.']	 is  a  water  type ,  and  it  is  a  water  type  that  is  very  good  at  using  water  attacks .	False	 as in Painter Squirtle (Maler Klecksel);	5	[' as', ' in', ' Painter', ' Squ', 'irt', 'le']
11	2	The evolved form of x	-1	The evolved form of Squirtle	Wartortle	Squirtle	[' is', ' a', ' water', ' type', ',', ' and', ' it', ' is', ' a', ' water', ' type', ' that', ' is', ' very', ' good', ' at', ' using', ' water', ' attacks', '.']	 is  a  water  type ,  and  it  is  a  water  type  that  is  very  good  at  using  water  attacks .	False	" You!"", ""Here Comes the Squirtle Squad"", ""Beach"	8	"[' You', '!"",', ' ""', 'Here', ' Comes', ' the', ' Squ', 'irt', 'le']"
12	2	The evolved form of x	-1	The evolved form of Squirtle	Wartortle	Squirtle	[' is', ' a', ' water', ' type', ',', ' and', ' it', ' is', ' a', ' water', ' type', ' that', ' is', ' very', ' good', ' at', ' using', ' water', ' attacks', '.']	 is  a  water  type ,  and  it  is  a  water  type  that  is  very  good  at  using  water  attacks .	False	 The Trainer has a Squirtle and an Ivysaur,	6	[' The', ' Trainer', ' has', ' a', ' Squ', 'irt', 'le']
13	3	The evolved form of x	-1	The evolved form of Pikachu	Raichu	Pikachu	[' is', ' a', ' very', ' powerful', ' Pokémon', '.', ' It', ' is', ' a', ' Psychic', '-', 'type', ' Pokémon', '.', ' It', ' has', ' a', ' base', ' stat', ' total']	 is  a  very  powerful  Pokémon .  It  is  a  Psychic - type  Pokémon .  It  has  a  base  stat  total	False	 one more Pokémon, a Pikachu. At first, Pikachu	5	[' one', ' more', ' Pokémon', ',', ' a', ' Pikachu']
14	3	The evolved form of x	-1	The evolved form of Pikachu	Raichu	Pikachu	[' is', ' a', ' very', ' powerful', ' Pokémon', '.', ' It', ' is', ' a', ' Psychic', '-', 'type', ' Pokémon', '.', ' It', ' has', ' a', ' base', ' stat', ' total']	 is  a  very  powerful  Pokémon .  It  is  a  Psychic - type  Pokémon .  It  has  a  base  stat  total	False	 generations. For example, Pikachu was introduced	5	[' generations', '.', ' For', ' example', ',', ' Pikachu']
15	3	The evolved form of x	-1	The evolved form of Pikachu	Raichu	Pikachu	[' is', ' a', ' very', ' powerful', ' Pokémon', '.', ' It', ' is', ' a', ' Psychic', '-', 'type', ' Pokémon', '.', ' It', ' has', ' a', ' base', ' stat', ' total']	 is  a  very  powerful  Pokémon .  It  is  a  Psychic - type  Pokémon .  It  has  a  base  stat  total	False		2	['P', 'ik', 'achu']
16	3	The evolved form of x	-1	The evolved form of Pikachu	Raichu	Pikachu	[' is', ' a', ' very', ' powerful', ' Pokémon', '.', ' It', ' is', ' a', ' Psychic', '-', 'type', ' Pokémon', '.', ' It', ' has', ' a', ' base', ' stat', ' total']	 is  a  very  powerful  Pokémon .  It  is  a  Psychic - type  Pokémon .  It  has  a  base  stat  total	False	 programs with a Pikachu, a mouse-like	3	[' programs', ' with', ' a', ' Pikachu']
17	3	The evolved form of x	-1	The evolved form of Pikachu	Raichu	Pikachu	[' is', ' a', ' very', ' powerful', ' Pokémon', '.', ' It', ' is', ' a', ' Psychic', '-', 'type', ' Pokémon', '.', ' It', ' has', ' a', ' base', ' stat', ' total']	 is  a  very  powerful  Pokémon .  It  is  a  Psychic - type  Pokémon .  It  has  a  base  stat  total	False	 thanking the player and Pikachu for their time,	4	[' thanking', ' the', ' player', ' and', ' Pikachu']
18	7	The evolved form of x	-1	The evolved form of Meowth	Persian	Meowth	[' is', ' a', ' cat', '-', 'like', ' Pokémon', ' with', ' a', ' long', ',', ' pointed', ' nose', ' and', ' a', ' long', ' tail', '.', ' It', ' has', ' a']	 is  a  cat - like  Pokémon  with  a  long ,  pointed  nose  and  a  long  tail .  It  has  a	False	 Patrick Paon) and Meowth to carry out the	6	[' Patrick', ' Pa', 'on', ')', ' and', ' Meow', 'th']
19	7	The evolved form of x	-1	The evolved form of Meowth	Persian	Meowth	[' is', ' a', ' cat', '-', 'like', ' Pokémon', ' with', ' a', ' long', ',', ' pointed', ' nose', ' and', ' a', ' long', ' tail', '.', ' It', ' has', ' a']	 is  a  cat - like  Pokémon  with  a  long ,  pointed  nose  and  a  long  tail .  It  has  a	False	 Patrick Paon) and Meowth to carry out	6	[' Patrick', ' Pa', 'on', ')', ' and', ' Meow', 'th']
20	7	The evolved form of x	-1	The evolved form of Meowth	Persian	Meowth	[' is', ' a', ' cat', '-', 'like', ' Pokémon', ' with', ' a', ' long', ',', ' pointed', ' nose', ' and', ' a', ' long', ' tail', '.', ' It', ' has', ' a']	 is  a  cat - like  Pokémon  with  a  long ,  pointed  nose  and  a  long  tail .  It  has  a	False	 masquerade as Pokémon Meowth in lieu of	5	[' mas', 'querade', ' as', ' Pokémon', ' Meow', 'th']
21	7	The evolved form of x	-1	The evolved form of Meowth	Persian	Meowth	[' is', ' a', ' cat', '-', 'like', ' Pokémon', ' with', ' a', ' long', ',', ' pointed', ' nose', ' and', ' a', ' long', ' tail', '.', ' It', ' has', ' a']	 is  a  cat - like  Pokémon  with  a  long ,  pointed  nose  and  a  long  tail .  It  has  a	False	 Gharret Patrick Paon) and Meowth to carry out the retribution.	9	[' G', 'har', 'ret', ' Patrick', ' Pa', 'on', ')', ' and', ' Meow', 'th']
22	7	The evolved form of x	-1	The evolved form of Meowth	Persian	Meowth	[' is', ' a', ' cat', '-', 'like', ' Pokémon', ' with', ' a', ' long', ',', ' pointed', ' nose', ' and', ' a', ' long', ' tail', '.', ' It', ' has', ' a']	 is  a  cat - like  Pokémon  with  a  long ,  pointed  nose  and  a  long  tail .  It  has  a	False	 Gharret Patrick Paon) and Meowth to carry out the	9	[' G', 'har', 'ret', ' Patrick', ' Pa', 'on', ')', ' and', ' Meow', 'th']
23	8	The evolved form of x	-1	The evolved form of Psyduck	Golduck	Psyduck	[' is', ' a', ' duck', ' with', ' a', ' Psy', 'du', 'ck', ' head', '.', ' It', ' is', ' a', ' water', '-', 'type', ' Pokémon', '.', ' It', ' is']	 is  a  duck  with  a  Psy du ck  head .  It  is  a  water - type  Pokémon .  It  is	False	 coverage from a Psyduck at Pokémon News	5	[' coverage', ' from', ' a', ' Psy', 'du', 'ck']
24	8	The evolved form of x	-1	The evolved form of Psyduck	Golduck	Psyduck	[' is', ' a', ' duck', ' with', ' a', ' Psy', 'du', 'ck', ' head', '.', ' It', ' is', ' a', ' water', '-', 'type', ' Pokémon', '.', ' It', ' is']	 is  a  duck  with  a  Psy du ck  head .  It  is  a  water - type  Pokémon .  It  is	False	 by using a zombie Psyduck to deflect Arbok's	6	[' by', ' using', ' a', ' zombie', ' Psy', 'du', 'ck']
25	8	The evolved form of x	-1	The evolved form of Psyduck	Golduck	Psyduck	[' is', ' a', ' duck', ' with', ' a', ' Psy', 'du', 'ck', ' head', '.', ' It', ' is', ' a', ' water', '-', 'type', ' Pokémon', '.', ' It', ' is']	 is  a  duck  with  a  Psy du ck  head .  It  is  a  water - type  Pokémon .  It  is	False	 using a zombie Psyduck to deflect	5	[' using', ' a', ' zombie', ' Psy', 'du', 'ck']
26	8	The evolved form of x	-1	The evolved form of Psyduck	Golduck	Psyduck	[' is', ' a', ' duck', ' with', ' a', ' Psy', 'du', 'ck', ' head', '.', ' It', ' is', ' a', ' water', '-', 'type', ' Pokémon', '.', ' It', ' is']	 is  a  duck  with  a  Psy du ck  head .  It  is  a  water - type  Pokémon .  It  is	False	 using a zombie Psyduck to deflect	5	[' using', ' a', ' zombie', ' Psy', 'du', 'ck']
27	12	The evolved form of x	-1	The evolved form of Abra	Kadabra	Abra	[',', ' the', ' first', ' Pokémon', ' to', ' be', ' released', ' in', ' the', ' Pokémon', ' Black', ' and', ' White', ' series', ',', ' is', ' a', ' Psychic', '-', 'type']	,  the  first  Pokémon  to  be  released  in  the  Pokémon  Black  and  White  series ,  is  a  Psychic - type	False	 game appearance of Abra, Kadabra, and	4	[' game', ' appearance', ' of', ' Ab', 'ra']
28	12	The evolved form of x	-1	The evolved form of Abra	Kadabra	Abra	[',', ' the', ' first', ' Pokémon', ' to', ' be', ' released', ' in', ' the', ' Pokémon', ' Black', ' and', ' White', ' series', ',', ' is', ' a', ' Psychic', '-', 'type']	,  the  first  Pokémon  to  be  released  in  the  Pokémon  Black  and  White  series ,  is  a  Psychic - type	False	 Sabrina owns an Abra, which she sends	5	[' Sab', 'rina', ' owns', ' an', ' Ab', 'ra']
29	12	The evolved form of x	-1	The evolved form of Abra	Kadabra	Abra	[',', ' the', ' first', ' Pokémon', ' to', ' be', ' released', ' in', ' the', ' Pokémon', ' Black', ' and', ' White', ' series', ',', ' is', ' a', ' Psychic', '-', 'type']	,  the  first  Pokémon  to  be  released  in  the  Pokémon  Black  and  White  series ,  is  a  Psychic - type	False		1	['Ab', 'ra']
30	12	The evolved form of x	-1	The evolved form of Abra	Kadabra	Abra	[',', ' the', ' first', ' Pokémon', ' to', ' be', ' released', ' in', ' the', ' Pokémon', ' Black', ' and', ' White', ' series', ',', ' is', ' a', ' Psychic', '-', 'type']	,  the  first  Pokémon  to  be  released  in  the  Pokémon  Black  and  White  series ,  is  a  Psychic - type	False		1	['Ab', 'ra']
31	12	The evolved form of x	-1	The evolved form of Abra	Kadabra	Abra	[',', ' the', ' first', ' Pokémon', ' to', ' be', ' released', ' in', ' the', ' Pokémon', ' Black', ' and', ' White', ' series', ',', ' is', ' a', ' Psychic', '-', 'type']	,  the  first  Pokémon  to  be  released  in  the  Pokémon  Black  and  White  series ,  is  a  Psychic - type	False	" attested that Abra returned in ""a fragile"	4	[' att', 'ested', ' that', ' Ab', 'ra']
