	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The largest city in x	-1	The largest city in United States	New York City	United States	[',', ' New', ' York', ' is', ' a', ' major', ' center', ' of', ' commerce', ',', ' finance', ',', ' media', ',', ' fashion', ',', ' education', ',', ' and', ' culture']	,  New  York  is  a  major  center  of  commerce ,  finance ,  media ,  fashion ,  education ,  and  culture	False	 upset loss to the United States at the 1980 Winter	5	[' upset', ' loss', ' to', ' the', ' United', ' States']
1	0	The largest city in x	-1	The largest city in United States	New York City	United States	[',', ' New', ' York', ' is', ' a', ' major', ' center', ' of', ' commerce', ',', ' finance', ',', ' media', ',', ' fashion', ',', ' education', ',', ' and', ' culture']	,  New  York  is  a  major  center  of  commerce ,  finance ,  media ,  fashion ,  education ,  and  culture	False	 cooperation with the United States Navy, to bombard	4	[' cooperation', ' with', ' the', ' United', ' States']
2	0	The largest city in x	-1	The largest city in United States	New York City	United States	[',', ' New', ' York', ' is', ' a', ' major', ' center', ' of', ' commerce', ',', ' finance', ',', ' media', ',', ' fashion', ',', ' education', ',', ' and', ' culture']	,  New  York  is  a  major  center  of  commerce ,  finance ,  media ,  fashion ,  education ,  and  culture	False	 supporting tours of the United States while traveling internationally	5	[' supporting', ' tours', ' of', ' the', ' United', ' States']
3	0	The largest city in x	-1	The largest city in United States	New York City	United States	[',', ' New', ' York', ' is', ' a', ' major', ' center', ' of', ' commerce', ',', ' finance', ',', ' media', ',', ' fashion', ',', ' education', ',', ' and', ' culture']	,  New  York  is  a  major  center  of  commerce ,  finance ,  media ,  fashion ,  education ,  and  culture	False	 the Southern United States, and William P.	3	[' the', ' Southern', ' United', ' States']
4	0	The largest city in x	-1	The largest city in United States	New York City	United States	[',', ' New', ' York', ' is', ' a', ' major', ' center', ' of', ' commerce', ',', ' finance', ',', ' media', ',', ' fashion', ',', ' education', ',', ' and', ' culture']	,  New  York  is  a  major  center  of  commerce ,  finance ,  media ,  fashion ,  education ,  and  culture	False		1	['United', ' States']
5	1	The largest city in x	-1	The largest city in China	Shanghai	China	[',', ' Shanghai', ' is', ' a', ' major', ' international', ' financial', ' center', ' and', ' a', ' major', ' manufacturing', ' center', '.', ' It', ' is', ' also', ' a', ' major', ' tourist']	,  Shanghai  is  a  major  international  financial  center  and  a  major  manufacturing  center .  It  is  also  a  major  tourist	True	 misconceptions about China as well as criticising	2	[' misconceptions', ' about', ' China']
6	1	The largest city in x	-1	The largest city in China	Shanghai	China	[',', ' Shanghai', ' is', ' a', ' major', ' international', ' financial', ' center', ' and', ' a', ' major', ' manufacturing', ' center', '.', ' It', ' is', ' also', ' a', ' major', ' tourist']	,  Shanghai  is  a  major  international  financial  center  and  a  major  manufacturing  center .  It  is  also  a  major  tourist	True	 entering the South China Sea, the JTWC	3	[' entering', ' the', ' South', ' China']
7	1	The largest city in x	-1	The largest city in China	Shanghai	China	[',', ' Shanghai', ' is', ' a', ' major', ' international', ' financial', ' center', ' and', ' a', ' major', ' manufacturing', ' center', '.', ' It', ' is', ' also', ' a', ' major', ' tourist']	,  Shanghai  is  a  major  international  financial  center  and  a  major  manufacturing  center .  It  is  also  a  major  tourist	True	 agencies, Malaysia, and China to plan and carry	5	[' agencies', ',', ' Malaysia', ',', ' and', ' China']
8	1	The largest city in x	-1	The largest city in China	Shanghai	China	[',', ' Shanghai', ' is', ' a', ' major', ' international', ' financial', ' center', ' and', ' a', ' major', ' manufacturing', ' center', '.', ' It', ' is', ' also', ' a', ' major', ' tourist']	,  Shanghai  is  a  major  international  financial  center  and  a  major  manufacturing  center .  It  is  also  a  major  tourist	True	 missionaries in China, but Johannes Kepler	2	[' missionaries', ' in', ' China']
9	1	The largest city in x	-1	The largest city in China	Shanghai	China	[',', ' Shanghai', ' is', ' a', ' major', ' international', ' financial', ' center', ' and', ' a', ' major', ' manufacturing', ' center', '.', ' It', ' is', ' also', ' a', ' major', ' tourist']	,  Shanghai  is  a  major  international  financial  center  and  a  major  manufacturing  center .  It  is  also  a  major  tourist	True	 Bohlinia entered China and northern	4	[' Boh', 'lin', 'ia', ' entered', ' China']
10	2	The largest city in x	-1	The largest city in Japan	Tokyo	Japan	[' is', ' Tokyo', ',', ' and', ' it', ' is', ' the', ' capital', ' of', ' Japan', '.', ' It', ' is', ' the', ' most', ' populous', ' city', ' in', ' Japan', ',']	 is  Tokyo ,  and  it  is  the  capital  of  Japan .  It  is  the  most  populous  city  in  Japan ,	True	 Switzerland and Japan to push down	2	[' Switzerland', ' and', ' Japan']
11	2	The largest city in x	-1	The largest city in Japan	Tokyo	Japan	[' is', ' Tokyo', ',', ' and', ' it', ' is', ' the', ' capital', ' of', ' Japan', '.', ' It', ' is', ' the', ' most', ' populous', ' city', ' in', ' Japan', ',']	 is  Tokyo ,  and  it  is  the  capital  of  Japan .  It  is  the  most  populous  city  in  Japan ,	True	 cooperation with the Japan Aerospace Exploration	3	[' cooperation', ' with', ' the', ' Japan']
