	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	On the inside, the color of x	-1	On the inside, the color of bananas	white	bananas	[' is', ' a', ' deep', ',', ' rich', ',', ' dark', ' brown', '.', '\n', '\n', 'The', ' skin', ' is', ' thick', ' and', ' tough', ',', ' and', ' the']	" is  a  deep ,  rich ,  dark  brown . 
 
 The  skin  is  thick  and  tough ,  and  the"	False	 and 5,662 acres of bananas were destroyed,	6	[' and', ' 5', ',', '662', ' acres', ' of', ' bananas']
1	0	On the inside, the color of x	-1	On the inside, the color of bananas	white	bananas	[' is', ' a', ' deep', ',', ' rich', ',', ' dark', ' brown', '.', '\n', '\n', 'The', ' skin', ' is', ' thick', ' and', ' tough', ',', ' and', ' the']	" is  a  deep ,  rich ,  dark  brown . 
 
 The  skin  is  thick  and  tough ,  and  the"	False	 their stolen hoard of bananas from King K. Rool	4	[' their', ' stolen', ' hoard', ' of', ' bananas']
2	0	On the inside, the color of x	-1	On the inside, the color of bananas	white	bananas	[' is', ' a', ' deep', ',', ' rich', ',', ' dark', ' brown', '.', '\n', '\n', 'The', ' skin', ' is', ' thick', ' and', ' tough', ',', ' and', ' the']	" is  a  deep ,  rich ,  dark  brown . 
 
 The  skin  is  thick  and  tough ,  and  the"	False	 While collecting bananas on the island's vastly	2	[' While', ' collecting', ' bananas']
3	0	On the inside, the color of x	-1	On the inside, the color of bananas	white	bananas	[' is', ' a', ' deep', ',', ' rich', ',', ' dark', ' brown', '.', '\n', '\n', 'The', ' skin', ' is', ' thick', ' and', ' tough', ',', ' and', ' the']	" is  a  deep ,  rich ,  dark  brown . 
 
 The  skin  is  thick  and  tough ,  and  the"	False	 hectares of bananas and 686,893 hectares	2	[' hectares', ' of', ' bananas']
4	0	On the inside, the color of x	-1	On the inside, the color of bananas	white	bananas	[' is', ' a', ' deep', ',', ' rich', ',', ' dark', ' brown', '.', '\n', '\n', 'The', ' skin', ' is', ' thick', ' and', ' tough', ',', ' and', ' the']	" is  a  deep ,  rich ,  dark  brown . 
 
 The  skin  is  thick  and  tough ,  and  the"	False	 non-regenerating bananas that add to speed	5	[' non', '-', 'reg', 'ener', 'ating', ' bananas']
5	1	On the inside, the color of x	-1	On the inside, the color of apples	white	apples	[' is', ' a', ' deep', ',', ' rich', ',', ' and', ' beautiful', ' red', '.', ' The', ' outside', ' is', ' a', ' bright', ',', ' shiny', ',', ' and', ' beautiful']	 is  a  deep ,  rich ,  and  beautiful  red .  The  outside  is  a  bright ,  shiny ,  and  beautiful	False	 are French cut apples served in a fry box	3	[' are', ' French', ' cut', ' apples']
6	1	On the inside, the color of x	-1	On the inside, the color of apples	white	apples	[' is', ' a', ' deep', ',', ' rich', ',', ' and', ' beautiful', ' red', '.', ' The', ' outside', ' is', ' a', ' bright', ',', ' shiny', ',', ' and', ' beautiful']	 is  a  deep ,  rich ,  and  beautiful  red .  The  outside  is  a  bright ,  shiny ,  and  beautiful	False	 him three poisoned apples to get rid of	3	[' him', ' three', ' poisoned', ' apples']
7	1	On the inside, the color of x	-1	On the inside, the color of apples	white	apples	[' is', ' a', ' deep', ',', ' rich', ',', ' and', ' beautiful', ' red', '.', ' The', ' outside', ' is', ' a', ' bright', ',', ' shiny', ',', ' and', ' beautiful']	 is  a  deep ,  rich ,  and  beautiful  red .  The  outside  is  a  bright ,  shiny ,  and  beautiful	False	 eating dozens of apples from the forbidden	3	[' eating', ' dozens', ' of', ' apples']
8	1	On the inside, the color of x	-1	On the inside, the color of apples	white	apples	[' is', ' a', ' deep', ',', ' rich', ',', ' and', ' beautiful', ' red', '.', ' The', ' outside', ' is', ' a', ' bright', ',', ' shiny', ',', ' and', ' beautiful']	 is  a  deep ,  rich ,  and  beautiful  red .  The  outside  is  a  bright ,  shiny ,  and  beautiful	False	 as large as apples washed onshore around	3	[' as', ' large', ' as', ' apples']
9	1	On the inside, the color of x	-1	On the inside, the color of apples	white	apples	[' is', ' a', ' deep', ',', ' rich', ',', ' and', ' beautiful', ' red', '.', ' The', ' outside', ' is', ' a', ' bright', ',', ' shiny', ',', ' and', ' beautiful']	 is  a  deep ,  rich ,  and  beautiful  red .  The  outside  is  a  bright ,  shiny ,  and  beautiful	False	" with her basket of apples on its banner.
"	4	[' with', ' her', ' basket', ' of', ' apples']
10	2	On the inside, the color of x	-1	On the inside, the color of watermelons	red	watermelons	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' same', ' rich', ',', ' deep', ',', ' and', ' saturated', ' colors', ' are', ' still', ' there', '.']	 is  a  bit  more  muted ,  but  the  same  rich ,  deep ,  and  saturated  colors  are  still  there .	False	 peaches, plums and watermelons were cultivated	8	[' pe', 'aches', ',', ' pl', 'ums', ' and', ' water', 'mel', 'ons']
11	2	On the inside, the color of x	-1	On the inside, the color of watermelons	red	watermelons	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' same', ' rich', ',', ' deep', ',', ' and', ' saturated', ' colors', ' are', ' still', ' there', '.']	 is  a  bit  more  muted ,  but  the  same  rich ,  deep ,  and  saturated  colors  are  still  there .	False	 spit seeds by eating watermelons — which were present	6	[' spit', ' seeds', ' by', ' eating', ' water', 'mel', 'ons']
12	2	On the inside, the color of x	-1	On the inside, the color of watermelons	red	watermelons	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' same', ' rich', ',', ' deep', ',', ' and', ' saturated', ' colors', ' are', ' still', ' there', '.']	 is  a  bit  more  muted ,  but  the  same  rich ,  deep ,  and  saturated  colors  are  still  there .	False	 Yoshi can also eat watermelons that let him	6	[' Yoshi', ' can', ' also', ' eat', ' water', 'mel', 'ons']
13	2	On the inside, the color of x	-1	On the inside, the color of watermelons	red	watermelons	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' same', ' rich', ',', ' deep', ',', ' and', ' saturated', ' colors', ' are', ' still', ' there', '.']	 is  a  bit  more  muted ,  but  the  same  rich ,  deep ,  and  saturated  colors  are  still  there .	False	 Yoshi can also eat watermelons that let him	6	[' Yoshi', ' can', ' also', ' eat', ' water', 'mel', 'ons']
14	2	On the inside, the color of x	-1	On the inside, the color of watermelons	red	watermelons	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' same', ' rich', ',', ' deep', ',', ' and', ' saturated', ' colors', ' are', ' still', ' there', '.']	 is  a  bit  more  muted ,  but  the  same  rich ,  deep ,  and  saturated  colors  are  still  there .	False	 peaches, plums and watermelons were cultivated	8	[' pe', 'aches', ',', ' pl', 'ums', ' and', ' water', 'mel', 'ons']
15	3	On the inside, the color of x	-1	On the inside, the color of kiwis	green	kiwis	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' fruit', ' is', ' still', ' very', ' sweet', '.', ' The', ' flavor', ' is', ' a', ' bit', ' more']	 is  a  bit  more  muted ,  but  the  fruit  is  still  very  sweet .  The  flavor  is  a  bit  more	False	 of five species of kiwis residing in	6	[' of', ' five', ' species', ' of', ' k', 'iw', 'is']
16	3	On the inside, the color of x	-1	On the inside, the color of kiwis	green	kiwis	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' fruit', ' is', ' still', ' very', ' sweet', '.', ' The', ' flavor', ' is', ' a', ' bit', ' more']	 is  a  bit  more  muted ,  but  the  fruit  is  still  very  sweet .  The  flavor  is  a  bit  more	False	 suitable for mangoes, kiwis and bananas,	7	[' suitable', ' for', ' mango', 'es', ',', ' k', 'iw', 'is']
17	3	On the inside, the color of x	-1	On the inside, the color of kiwis	green	kiwis	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' fruit', ' is', ' still', ' very', ' sweet', '.', ' The', ' flavor', ' is', ' a', ' bit', ' more']	 is  a  bit  more  muted ,  but  the  fruit  is  still  very  sweet .  The  flavor  is  a  bit  more	False	 adult great spotted kiwis are large and	5	[' adult', ' great', ' spotted', ' k', 'iw', 'is']
18	3	On the inside, the color of x	-1	On the inside, the color of kiwis	green	kiwis	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' fruit', ' is', ' still', ' very', ' sweet', '.', ' The', ' flavor', ' is', ' a', ' bit', ' more']	 is  a  bit  more  muted ,  but  the  fruit  is  still  very  sweet .  The  flavor  is  a  bit  more	False	 suitable for mangoes, kiwis and bananas, while	7	[' suitable', ' for', ' mango', 'es', ',', ' k', 'iw', 'is']
19	3	On the inside, the color of x	-1	On the inside, the color of kiwis	green	kiwis	[' is', ' a', ' bit', ' more', ' muted', ',', ' but', ' the', ' fruit', ' is', ' still', ' very', ' sweet', '.', ' The', ' flavor', ' is', ' a', ' bit', ' more']	 is  a  bit  more  muted ,  but  the  fruit  is  still  very  sweet .  The  flavor  is  a  bit  more	False	 species of kiwis residing in New	4	[' species', ' of', ' k', 'iw', 'is']
20	5	On the inside, the color of x	-1	On the inside, the color of eggplants	white	eggplants	[' is', ' a', ' deep', ' purple', ',', ' and', ' the', ' skin', ' is', ' smooth', ' and', ' shiny', '.', ' The', ' flesh', ' is', ' white', ' and', ' soft', '.']	 is  a  deep  purple ,  and  the  skin  is  smooth  and  shiny .  The  flesh  is  white  and  soft .	True	 tomatoes, onions, eggplants and also sometimes	6	[' tomatoes', ',', ' onions', ',', ' egg', 'pl', 'ants']
21	5	On the inside, the color of x	-1	On the inside, the color of eggplants	white	eggplants	[' is', ' a', ' deep', ' purple', ',', ' and', ' the', ' skin', ' is', ' smooth', ' and', ' shiny', '.', ' The', ' flesh', ' is', ' white', ' and', ' soft', '.']	 is  a  deep  purple ,  and  the  skin  is  smooth  and  shiny .  The  flesh  is  white  and  soft .	True	 1992 result (but using eggplants instead of dolls),	7	[' 1992', ' result', ' (', 'but', ' using', ' egg', 'pl', 'ants']
