	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	1	The professional role most suited to handle x	-1	The professional role most suited to handle delivering mail	mail carrier	delivering mail	[' is', ' the', ' Mail', ' Carrier', '.', ' This', ' is', ' a', ' job', ' that', ' requires', ' a', ' lot', ' of', ' physical', ' strength', ' and', ' stamina', '.', ' The']	 is  the  Mail  Carrier .  This  is  a  job  that  requires  a  lot  of  physical  strength  and  stamina .  The	False	 secured his first job, delivering mail to neighboring	6	[' secured', ' his', ' first', ' job', ',', ' delivering', ' mail']
1	1	The professional role most suited to handle x	-1	The professional role most suited to handle delivering mail	mail carrier	delivering mail	[' is', ' the', ' Mail', ' Carrier', '.', ' This', ' is', ' a', ' job', ' that', ' requires', ' a', ' lot', ' of', ' physical', ' strength', ' and', ' stamina', '.', ' The']	 is  the  Mail  Carrier .  This  is  a  job  that  requires  a  lot  of  physical  strength  and  stamina .  The	False	 full-time carriers delivering mail six times a day,	5	[' full', '-', 'time', ' carriers', ' delivering', ' mail']
2	1	The professional role most suited to handle x	-1	The professional role most suited to handle delivering mail	mail carrier	delivering mail	[' is', ' the', ' Mail', ' Carrier', '.', ' This', ' is', ' a', ' job', ' that', ' requires', ' a', ' lot', ' of', ' physical', ' strength', ' and', ' stamina', '.', ' The']	 is  the  Mail  Carrier .  This  is  a  job  that  requires  a  lot  of  physical  strength  and  stamina .  The	False	 full-time carriers delivering mail six times a day, six	5	[' full', '-', 'time', ' carriers', ' delivering', ' mail']
3	1	The professional role most suited to handle x	-1	The professional role most suited to handle delivering mail	mail carrier	delivering mail	[' is', ' the', ' Mail', ' Carrier', '.', ' This', ' is', ' a', ' job', ' that', ' requires', ' a', ' lot', ' of', ' physical', ' strength', ' and', ' stamina', '.', ' The']	 is  the  Mail  Carrier .  This  is  a  job  that  requires  a  lot  of  physical  strength  and  stamina .  The	False	 situation by only delivering mail addressed to Brooks	4	[' situation', ' by', ' only', ' delivering', ' mail']
4	1	The professional role most suited to handle x	-1	The professional role most suited to handle delivering mail	mail carrier	delivering mail	[' is', ' the', ' Mail', ' Carrier', '.', ' This', ' is', ' a', ' job', ' that', ' requires', ' a', ' lot', ' of', ' physical', ' strength', ' and', ' stamina', '.', ' The']	 is  the  Mail  Carrier .  This  is  a  job  that  requires  a  lot  of  physical  strength  and  stamina .  The	False	 secured his first job, delivering mail to neighboring	6	[' secured', ' his', ' first', ' job', ',', ' delivering', ' mail']
5	4	The professional role most suited to handle x	-1	The professional role most suited to handle leading teams	leader	leading teams	[' of', ' people', ' is', ' that', ' of', ' a', ' manager', '.', ' A', ' manager', ' is', ' responsible', ' for', ' the', ' overall', ' performance', ' of', ' a', ' team', '.']	 of  people  is  that  of  a  manager .  A  manager  is  responsible  for  the  overall  performance  of  a  team .	False	 of the world's leading teams of military vehicle	5	"[' of', ' the', ' world', ""'s"", ' leading', ' teams']"
6	4	The professional role most suited to handle x	-1	The professional role most suited to handle leading teams	leader	leading teams	[' of', ' people', ' is', ' that', ' of', ' a', ' manager', '.', ' A', ' manager', ' is', ' responsible', ' for', ' the', ' overall', ' performance', ' of', ' a', ' team', '.']	 of  people  is  that  of  a  manager .  A  manager  is  responsible  for  the  overall  performance  of  a  team .	False	 improvement; the class leading teams remained the	5	[' improvement', ';', ' the', ' class', ' leading', ' teams']
7	4	The professional role most suited to handle x	-1	The professional role most suited to handle leading teams	leader	leading teams	[' of', ' people', ' is', ' that', ' of', ' a', ' manager', '.', ' A', ' manager', ' is', ' responsible', ' for', ' the', ' overall', ' performance', ' of', ' a', ' team', '.']	 of  people  is  that  of  a  manager .  A  manager  is  responsible  for  the  overall  performance  of  a  team .	False	 drivers of the leading teams to pit, however,	4	[' drivers', ' of', ' the', ' leading', ' teams']
8	4	The professional role most suited to handle x	-1	The professional role most suited to handle leading teams	leader	leading teams	[' of', ' people', ' is', ' that', ' of', ' a', ' manager', '.', ' A', ' manager', ' is', ' responsible', ' for', ' the', ' overall', ' performance', ' of', ' a', ' team', '.']	 of  people  is  that  of  a  manager .  A  manager  is  responsible  for  the  overall  performance  of  a  team .	False	 one of the leading teams and former winners	4	[' one', ' of', ' the', ' leading', ' teams']
9	4	The professional role most suited to handle x	-1	The professional role most suited to handle leading teams	leader	leading teams	[' of', ' people', ' is', ' that', ' of', ' a', ' manager', '.', ' A', ' manager', ' is', ' responsible', ' for', ' the', ' overall', ' performance', ' of', ' a', ' team', '.']	 of  people  is  that  of  a  manager .  A  manager  is  responsible  for  the  overall  performance  of  a  team .	False	 establish as one of the leading teams in England.	6	[' establish', ' as', ' one', ' of', ' the', ' leading', ' teams']
10	7	The professional role most suited to handle x	-1	The professional role most suited to handle designing buildings	architect	designing buildings	[' is', ' the', ' architect', '.', ' Architects', ' are', ' responsible', ' for', ' the', ' overall', ' design', ' of', ' a', ' building', ',', ' including', ' the', ' layout', ' of', ' the']	 is  the  architect .  Architects  are  responsible  for  the  overall  design  of  a  building ,  including  the  layout  of  the	True	 tornadoes. When designing buildings to prevent	5	[' torn', 'adoes', '.', ' When', ' designing', ' buildings']
11	7	The professional role most suited to handle x	-1	The professional role most suited to handle designing buildings	architect	designing buildings	[' is', ' the', ' architect', '.', ' Architects', ' are', ' responsible', ' for', ' the', ' overall', ' design', ' of', ' a', ' building', ',', ' including', ' the', ' layout', ' of', ' the']	 is  the  architect .  Architects  are  responsible  for  the  overall  design  of  a  building ,  including  the  layout  of  the	True	 of tornadoes. When designing buildings to prevent against	6	[' of', ' torn', 'adoes', '.', ' When', ' designing', ' buildings']
12	12	The professional role most suited to handle x	-1	The professional role most suited to handle managing hotels	hotel manager	managing hotels	[' is', ' the', ' hotel', ' manager', '.', ' The', ' hotel', ' manager', ' is', ' responsible', ' for', ' the', ' day', '-', 'to', '-', 'day', ' operations', ' of', ' the']	 is  the  hotel  manager .  The  hotel  manager  is  responsible  for  the  day - to - day  operations  of  the	True	 eventually found work managing hotels on behalf	4	[' eventually', ' found', ' work', ' managing', ' hotels']
13	13	The professional role most suited to handle x	-1	The professional role most suited to handle farming	farmer	farming	[' is', ' that', ' of', ' a', ' farmer', '.', '\n', '\n', 'The', ' farmer', ' is', ' the', ' one', ' who', ' is', ' in', ' charge', ' of', ' the', ' farm']	" is  that  of  a  farmer . 
 
 The  farmer  is  the  one  who  is  in  charge  of  the  farm"	True	 accordance with sustainable farming practices also	3	[' accordance', ' with', ' sustainable', ' farming']
14	13	The professional role most suited to handle x	-1	The professional role most suited to handle farming	farmer	farming	[' is', ' that', ' of', ' a', ' farmer', '.', '\n', '\n', 'The', ' farmer', ' is', ' the', ' one', ' who', ' is', ' in', ' charge', ' of', ' the', ' farm']	" is  that  of  a  farmer . 
 
 The  farmer  is  the  one  who  is  in  charge  of  the  farm"	True	 transitioned to the farming of wheat by 1792,	3	[' transitioned', ' to', ' the', ' farming']
15	13	The professional role most suited to handle x	-1	The professional role most suited to handle farming	farmer	farming	[' is', ' that', ' of', ' a', ' farmer', '.', '\n', '\n', 'The', ' farmer', ' is', ' the', ' one', ' who', ' is', ' in', ' charge', ' of', ' the', ' farm']	" is  that  of  a  farmer . 
 
 The  farmer  is  the  one  who  is  in  charge  of  the  farm"	True	 Recreation as the hippie farming couple Beverly	5	[' Recreation', ' as', ' the', ' hipp', 'ie', ' farming']
16	13	The professional role most suited to handle x	-1	The professional role most suited to handle farming	farmer	farming	[' is', ' that', ' of', ' a', ' farmer', '.', '\n', '\n', 'The', ' farmer', ' is', ' the', ' one', ' who', ' is', ' in', ' charge', ' of', ' the', ' farm']	" is  that  of  a  farmer . 
 
 The  farmer  is  the  one  who  is  in  charge  of  the  farm"	True	 Adams resumed farming at his home	2	[' Adams', ' resumed', ' farming']
17	13	The professional role most suited to handle x	-1	The professional role most suited to handle farming	farmer	farming	[' is', ' that', ' of', ' a', ' farmer', '.', '\n', '\n', 'The', ' farmer', ' is', ' the', ' one', ' who', ' is', ' in', ' charge', ' of', ' the', ' farm']	" is  that  of  a  farmer . 
 
 The  farmer  is  the  one  who  is  in  charge  of  the  farm"	True	 improvements to farming and collected	2	[' improvements', ' to', ' farming']
18	16	The professional role most suited to handle x	-1	The professional role most suited to handle flying airplanes	pilot	flying airplanes	[' is', ' the', ' pilot', '.', ' Pil', 'ots', ' are', ' responsible', ' for', ' the', ' safe', ' operation', ' of', ' the', ' aircraft', ',', ' and', ' for', ' the', ' safety']	 is  the  pilot .  Pil ots  are  responsible  for  the  safe  operation  of  the  aircraft ,  and  for  the  safety	True	 sabotaging equipment or flying airplanes above the filming	5	[' sabot', 'aging', ' equipment', ' or', ' flying', ' airplanes']
