	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The professional sport played by x	-1	The professional sport played by Andreas Ivanschitz	soccer	Andreas Ivanschitz	"[',' ' a' ' German' '-' 'born' ' American' ' who' ' has' ' been' ' living'
 ' in' ' the' ' United' ' States' ' since' ' the' ' age' ' of' ' three'
 '.']"	,  a  German - born  American  who  has  been  living  in  the  United  States  since  the  age  of  three .	False	 international signings Andreas Ivanschitz and Román Torres	6	[' international', ' signings', ' Andreas', ' Iv', 'ans', 'ch', 'itz']
1	0	The professional sport played by x	-1	The professional sport played by Andreas Ivanschitz	soccer	Andreas Ivanschitz	"[',' ' a' ' German' '-' 'born' ' American' ' who' ' has' ' been' ' living'
 ' in' ' the' ' United' ' States' ' since' ' the' ' age' ' of' ' three'
 '.']"	,  a  German - born  American  who  has  been  living  in  the  United  States  since  the  age  of  three .	False	 international signings Andreas Ivanschitz and Román Torres	6	[' international', ' signings', ' Andreas', ' Iv', 'ans', 'ch', 'itz']
2	1	The professional sport played by x	-1	The professional sport played by Roberto Clemente	baseball	Roberto Clemente	"[',' ' Jr' '.' '\n' '\n' 'The' ' game' ' is' ' a' ' baseball' ' game'
 ' played' ' by' ' two' ' teams' ' of' ' nine' ' players' ' each' '.']"	",  Jr . 
 
 The  game  is  a  baseball  game  played  by  two  teams  of  nine  players  each ."	True	 Pirates' right-fielder Roberto Clemente got his 3,000th hit	8	"[' Pirates', ""'"", ' right', '-', 'field', 'er', ' Roberto', ' Clement', 'e']"
3	1	The professional sport played by x	-1	The professional sport played by Roberto Clemente	baseball	Roberto Clemente	"[',' ' Jr' '.' '\n' '\n' 'The' ' game' ' is' ' a' ' baseball' ' game'
 ' played' ' by' ' two' ' teams' ' of' ' nine' ' players' ' each' '.']"	",  Jr . 
 
 The  game  is  a  baseball  game  played  by  two  teams  of  nine  players  each ."	True	 Jeter won the Roberto Clemente Award and was named	6	[' J', 'eter', ' won', ' the', ' Roberto', ' Clement', 'e']
4	1	The professional sport played by x	-1	The professional sport played by Roberto Clemente	baseball	Roberto Clemente	"[',' ' Jr' '.' '\n' '\n' 'The' ' game' ' is' ' a' ' baseball' ' game'
 ' played' ' by' ' two' ' teams' ' of' ' nine' ' players' ' each' '.']"	",  Jr . 
 
 The  game  is  a  baseball  game  played  by  two  teams  of  nine  players  each ."	True	 Tour in 2001 at the Roberto Clemente Coliseum in San	7	[' Tour', ' in', ' 2001', ' at', ' the', ' Roberto', ' Clement', 'e']
5	1	The professional sport played by x	-1	The professional sport played by Roberto Clemente	baseball	Roberto Clemente	"[',' ' Jr' '.' '\n' '\n' 'The' ' game' ' is' ' a' ' baseball' ' game'
 ' played' ' by' ' two' ' teams' ' of' ' nine' ' players' ' each' '.']"	",  Jr . 
 
 The  game  is  a  baseball  game  played  by  two  teams  of  nine  players  each ."	True	 Illustrated, and won the Roberto Clemente Award, Hank Aaron	7	[' Illustrated', ',', ' and', ' won', ' the', ' Roberto', ' Clement', 'e']
6	1	The professional sport played by x	-1	The professional sport played by Roberto Clemente	baseball	Roberto Clemente	"[',' ' Jr' '.' '\n' '\n' 'The' ' game' ' is' ' a' ' baseball' ' game'
 ' played' ' by' ' two' ' teams' ' of' ' nine' ' players' ' each' '.']"	",  Jr . 
 
 The  game  is  a  baseball  game  played  by  two  teams  of  nine  players  each ."	True		3	['Rober', 'to', ' Clement', 'e']
7	3	The professional sport played by x	-1	The professional sport played by Hank Aaron	baseball	Hank Aaron	"[',' ' the' ' first' ' black' ' player' ' to' ' hit' ' a' ' home' ' run'
 ' in' ' the' ' World' ' Series' '.' '\n' '\n' 'The' ' first' ' black']"	",  the  first  black  player  to  hit  a  home  run  in  the  World  Series . 
 
 The  first  black"	False	 Award, he won the Hank Aaron Award, given for	6	[' Award', ',', ' he', ' won', ' the', ' Hank', ' Aaron']
8	3	The professional sport played by x	-1	The professional sport played by Hank Aaron	baseball	Hank Aaron	"[',' ' the' ' first' ' black' ' player' ' to' ' hit' ' a' ' home' ' run'
 ' in' ' the' ' World' ' Series' '.' '\n' '\n' 'The' ' first' ' black']"	",  the  first  black  player  to  hit  a  home  run  in  the  World  Series . 
 
 The  first  black"	False	 Koufax walked Hank Aaron on four pitches to	4	[' Kou', 'fax', ' walked', ' Hank', ' Aaron']
9	3	The professional sport played by x	-1	The professional sport played by Hank Aaron	baseball	Hank Aaron	"[',' ' the' ' first' ' black' ' player' ' to' ' hit' ' a' ' home' ' run'
 ' in' ' the' ' World' ' Series' '.' '\n' '\n' 'The' ' first' ' black']"	",  the  first  black  player  to  hit  a  home  run  in  the  World  Series . 
 
 The  first  black"	False	 been Tony Gwynn. Hank Aaron has been the	7	[' been', ' Tony', ' G', 'wyn', 'n', '.', ' Hank', ' Aaron']
10	3	The professional sport played by x	-1	The professional sport played by Hank Aaron	baseball	Hank Aaron	"[',' ' the' ' first' ' black' ' player' ' to' ' hit' ' a' ' home' ' run'
 ' in' ' the' ' World' ' Series' '.' '\n' '\n' 'The' ' first' ' black']"	",  the  first  black  player  to  hit  a  home  run  in  the  World  Series . 
 
 The  first  black"	False	 and steals since Hank Aaron in 1963. He	4	[' and', ' steals', ' since', ' Hank', ' Aaron']
11	3	The professional sport played by x	-1	The professional sport played by Hank Aaron	baseball	Hank Aaron	"[',' ' the' ' first' ' black' ' player' ' to' ' hit' ' a' ' home' ' run'
 ' in' ' the' ' World' ' Series' '.' '\n' '\n' 'The' ' first' ' black']"	",  the  first  black  player  to  hit  a  home  run  in  the  World  Series . 
 
 The  first  black"	False	 named winners of the Hank Aaron Award for their	5	[' named', ' winners', ' of', ' the', ' Hank', ' Aaron']
12	4	The professional sport played by x	-1	The professional sport played by Jari Kurri	hockey	Jari Kurri	"[',' ' who' ' was' ' a' ' member' ' of' ' the' ' Finnish' ' national'
 ' team' ' from' ' the' ' late' ' 1980' 's' ' to' ' the' ' early' ' 1990'
 's']"	,  who  was  a  member  of  the  Finnish  national  team  from  the  late  1980 s  to  the  early  1990 s	False	 – 86 season. Finns Jari Kurri and Esa Tikkanen	9	[' –', ' 86', ' season', '.', ' Finn', 's', ' J', 'ari', ' Kur', 'ri']
13	4	The professional sport played by x	-1	The professional sport played by Jari Kurri	hockey	Jari Kurri	"[',' ' who' ' was' ' a' ' member' ' of' ' the' ' Finnish' ' national'
 ' team' ' from' ' the' ' late' ' 1980' 's' ' to' ' the' ' early' ' 1990'
 's']"	,  who  was  a  member  of  the  Finnish  national  team  from  the  late  1980 s  to  the  early  1990 s	False	 the NHL. He idolized Jari Kurri and was more	9	[' the', ' NHL', '.', ' He', ' idol', 'ized', ' J', 'ari', ' Kur', 'ri']
14	4	The professional sport played by x	-1	The professional sport played by Jari Kurri	hockey	Jari Kurri	"[',' ' who' ' was' ' a' ' member' ' of' ' the' ' Finnish' ' national'
 ' team' ' from' ' the' ' late' ' 1980' 's' ' to' ' the' ' early' ' 1990'
 's']"	,  who  was  a  member  of  the  Finnish  national  team  from  the  late  1980 s  to  the  early  1990 s	False	 86 season. Finns Jari Kurri and Esa Tikkanen	8	[' 86', ' season', '.', ' Finn', 's', ' J', 'ari', ' Kur', 'ri']
15	4	The professional sport played by x	-1	The professional sport played by Jari Kurri	hockey	Jari Kurri	"[',' ' who' ' was' ' a' ' member' ' of' ' the' ' Finnish' ' national'
 ' team' ' from' ' the' ' late' ' 1980' 's' ' to' ' the' ' early' ' 1990'
 's']"	,  who  was  a  member  of  the  Finnish  national  team  from  the  late  1980 s  to  the  early  1990 s	False	 medal for Russia and Jari Kurri won the bronze	7	[' medal', ' for', ' Russia', ' and', ' J', 'ari', ' Kur', 'ri']
16	4	The professional sport played by x	-1	The professional sport played by Jari Kurri	hockey	Jari Kurri	"[',' ' who' ' was' ' a' ' member' ' of' ' the' ' Finnish' ' national'
 ' team' ' from' ' the' ' late' ' 1980' 's' ' to' ' the' ' early' ' 1990'
 's']"	,  who  was  a  member  of  the  Finnish  national  team  from  the  late  1980 s  to  the  early  1990 s	False	 1998 – 99 and the Jari Kurri trophy as the	8	[' 1998', ' –', ' 99', ' and', ' the', ' J', 'ari', ' Kur', 'ri']
17	5	The professional sport played by x	-1	The professional sport played by Zdeno Chára	hockey	Zdeno Chára	"['i' ',' ' a' ' former' ' professional' ' basketball' ' player' ',' ' is'
 ' a' ' popular' ' sport' ' in' ' the' ' Czech' ' Republic' '.' ' It'
 ' is' ' played']"	i ,  a  former  professional  basketball  player ,  is  a  popular  sport  in  the  Czech  Republic .  It  is  played	False	 finalists — along with Zdeno Chára and Nicklas Lidström	9	[' finalists', ' —', ' along', ' with', ' Z', 'den', 'o', ' Ch', 'á', 'ra']
18	5	The professional sport played by x	-1	The professional sport played by Zdeno Chára	hockey	Zdeno Chára	"['i' ',' ' a' ' former' ' professional' ' basketball' ' player' ',' ' is'
 ' a' ' popular' ' sport' ' in' ' the' ' Czech' ' Republic' '.' ' It'
 ' is' ' played']"	i ,  a  former  professional  basketball  player ,  is  a  popular  sport  in  the  Czech  Republic .  It  is  played	False	 finalists — along with Zdeno Chára and Nicklas Lidström	9	[' finalists', ' —', ' along', ' with', ' Z', 'den', 'o', ' Ch', 'á', 'ra']
19	5	The professional sport played by x	-1	The professional sport played by Zdeno Chára	hockey	Zdeno Chára	"['i' ',' ' a' ' former' ' professional' ' basketball' ' player' ',' ' is'
 ' a' ' popular' ' sport' ' in' ' the' ' Czech' ' Republic' '.' ' It'
 ' is' ' played']"	i ,  a  former  professional  basketball  player ,  is  a  popular  sport  in  the  Czech  Republic .  It  is  played	False	 finalists were Zdeno Chára and Duncan Keith,	7	[' finalists', ' were', ' Z', 'den', 'o', ' Ch', 'á', 'ra']
20	7	The professional sport played by x	-1	The professional sport played by Peter Šťastný	hockey	Peter Šťastný	"[',' ' a' ' former' ' professional' ' ice' ' hockey' ' player' ',' ' and'
 ' his' ' wife' ',' ' Mart' 'ina' ' �' '�' '�' '�' 'ast' 'n']"	,  a  former  professional  ice  hockey  player ,  and  his  wife ,  Mart ina  � � � � ast n	True	 former Nordiques mentor Peter Šťastný [1]), while	12	[' former', ' Nord', 'iques', ' mentor', ' Peter', ' �', '�', '�', '�', 'ast', 'n', '�', '�']
21	7	The professional sport played by x	-1	The professional sport played by Peter Šťastný	hockey	Peter Šťastný	"[',' ' a' ' former' ' professional' ' ice' ' hockey' ' player' ',' ' and'
 ' his' ' wife' ',' ' Mart' 'ina' ' �' '�' '�' '�' 'ast' 'n']"	,  a  former  professional  ice  hockey  player ,  and  his  wife ,  Mart ina  � � � � ast n	True	 former Nordiques mentor Peter Šťastný [1]), while also being	12	[' former', ' Nord', 'iques', ' mentor', ' Peter', ' �', '�', '�', '�', 'ast', 'n', '�', '�']
