	sample_id	prompt_target	position_target	target_baseline	object	subject	generations_baseline	generations_baseline_str	is_correct_baseline	prompt_source	position_source	source_cropped_toks
0	0	The place of work where you can usually find a x	-1	The place of work where you can usually find a farmer	farm	farmer	"[',', ' a', ' farmer', ""'s"", ' wife', ',', ' or', ' a', ' farmer', ""'s"", ' daughter', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually']"	",  a  farmer 's  wife ,  or  a  farmer 's  daughter . 
 
 The  place  where  you  can  usually"	True	 growing belief that farmers' financial troubles	3	[' growing', ' belief', ' that', ' farmer']
1	0	The place of work where you can usually find a x	-1	The place of work where you can usually find a farmer	farm	farmer	"[',', ' a', ' farmer', ""'s"", ' wife', ',', ' or', ' a', ' farmer', ""'s"", ' daughter', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually']"	",  a  farmer 's  wife ,  or  a  farmer 's  daughter . 
 
 The  place  where  you  can  usually"	True	 as a surveyor and farmer in Johnson County.	5	[' as', ' a', ' survey', 'or', ' and', ' farmer']
2	0	The place of work where you can usually find a x	-1	The place of work where you can usually find a farmer	farm	farmer	"[',', ' a', ' farmer', ""'s"", ' wife', ',', ' or', ' a', ' farmer', ""'s"", ' daughter', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually']"	",  a  farmer 's  wife ,  or  a  farmer 's  daughter . 
 
 The  place  where  you  can  usually"	True	 His father was a farmer and mayor of the city,	4	[' His', ' father', ' was', ' a', ' farmer']
3	0	The place of work where you can usually find a x	-1	The place of work where you can usually find a farmer	farm	farmer	"[',', ' a', ' farmer', ""'s"", ' wife', ',', ' or', ' a', ' farmer', ""'s"", ' daughter', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually']"	",  a  farmer 's  wife ,  or  a  farmer 's  daughter . 
 
 The  place  where  you  can  usually"	True	 Ireland, the first farmer to finish the grain	4	[' Ireland', ',', ' the', ' first', ' farmer']
4	0	The place of work where you can usually find a x	-1	The place of work where you can usually find a farmer	farm	farmer	"[',', ' a', ' farmer', ""'s"", ' wife', ',', ' or', ' a', ' farmer', ""'s"", ' daughter', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually']"	",  a  farmer 's  wife ,  or  a  farmer 's  daughter . 
 
 The  place  where  you  can  usually"	True	 Maley Eichelberger, a farmer and lawyer, and	8	[' Male', 'y', ' E', 'ic', 'hel', 'berger', ',', ' a', ' farmer']
5	1	The place of work where you can usually find a x	-1	The place of work where you can usually find a lawyer	courthouse	lawyer	[',', ' accountant', ',', ' or', ' other', ' professional', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually', ' find', ' a', ' lawyer', ',', ' accountant']	",  accountant ,  or  other  professional . 
 
 The  place  where  you  can  usually  find  a  lawyer ,  accountant"	False	 argumentation used by Imo lawyer Charles Burchell.	6	[' argument', 'ation', ' used', ' by', ' Im', 'o', ' lawyer']
6	1	The place of work where you can usually find a x	-1	The place of work where you can usually find a lawyer	courthouse	lawyer	[',', ' accountant', ',', ' or', ' other', ' professional', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually', ' find', ' a', ' lawyer', ',', ' accountant']	",  accountant ,  or  other  professional . 
 
 The  place  where  you  can  usually  find  a  lawyer ,  accountant"	False	 vice-president, and the lawyer Felix Perez	6	[' vice', '-', 'president', ',', ' and', ' the', ' lawyer']
7	1	The place of work where you can usually find a x	-1	The place of work where you can usually find a lawyer	courthouse	lawyer	[',', ' accountant', ',', ' or', ' other', ' professional', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually', ' find', ' a', ' lawyer', ',', ' accountant']	",  accountant ,  or  other  professional . 
 
 The  place  where  you  can  usually  find  a  lawyer ,  accountant"	False	 June. He was a lawyer and a business	5	[' June', '.', ' He', ' was', ' a', ' lawyer']
8	1	The place of work where you can usually find a x	-1	The place of work where you can usually find a lawyer	courthouse	lawyer	[',', ' accountant', ',', ' or', ' other', ' professional', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually', ' find', ' a', ' lawyer', ',', ' accountant']	",  accountant ,  or  other  professional . 
 
 The  place  where  you  can  usually  find  a  lawyer ,  accountant"	False	 paraplegic lawyer who is married to	3	[' parap', 'leg', 'ic', ' lawyer']
9	1	The place of work where you can usually find a x	-1	The place of work where you can usually find a lawyer	courthouse	lawyer	[',', ' accountant', ',', ' or', ' other', ' professional', '.', '\n', '\n', 'The', ' place', ' where', ' you', ' can', ' usually', ' find', ' a', ' lawyer', ',', ' accountant']	",  accountant ,  or  other  professional . 
 
 The  place  where  you  can  usually  find  a  lawyer ,  accountant"	False	 Pedicone, as an outside lawyer for the Finance	6	[' Ped', 'icone', ',', ' as', ' an', ' outside', ' lawyer']
10	2	The place of work where you can usually find a x	-1	The place of work where you can usually find a teacher	school	teacher	[',', ' a', ' friend', ',', ' a', ' mentor', ',', ' a', ' coach', ',', ' a', ' guide', ',', ' a', ' guide', ',', ' a', ' friend', ',', ' a']	,  a  friend ,  a  mentor ,  a  coach ,  a  guide ,  a  guide ,  a  friend ,  a	False	 full-time substitute teacher in Jackson,	4	[' full', '-', 'time', ' substitute', ' teacher']
11	2	The place of work where you can usually find a x	-1	The place of work where you can usually find a teacher	school	teacher	[',', ' a', ' friend', ',', ' a', ' mentor', ',', ' a', ' coach', ',', ' a', ' guide', ',', ' a', ' guide', ',', ' a', ' friend', ',', ' a']	,  a  friend ,  a  mentor ,  a  coach ,  a  guide ,  a  guide ,  a  friend ,  a	False	 Caro one of the best teachers in Cardenal Caro	6	[' Car', 'o', ' one', ' of', ' the', ' best', ' teacher']
12	2	The place of work where you can usually find a x	-1	The place of work where you can usually find a teacher	school	teacher	[',', ' a', ' friend', ',', ' a', ' mentor', ',', ' a', ' coach', ',', ' a', ' guide', ',', ' a', ' guide', ',', ' a', ' friend', ',', ' a']	,  a  friend ,  a  mentor ,  a  coach ,  a  guide ,  a  guide ,  a  friend ,  a	False	 Zhou Li, a violin teacher at the Royal	5	[' Zhou', ' Li', ',', ' a', ' violin', ' teacher']
